id,name,domain,connection_mode,deps,existing_implementation(path@branch or NONE),classification(REUSE/MIGRATE/NEW/RETIRE/BLOCKED),notes
E43,"Confidence & Uncertainty Intelligence Engine",INTELLIGENCE,INTELLIGENCE_CORE,E39;E42,packages/intelligence/aetherus_intelligence/confidence.py@codex/aetherus-v2-v06-integration,MIGRATE,"Versioned confidence-vs-uncertainty separation with traceable factors executes; UI/subscription cannot alter scientific hash (tested)"
E44,"Importance / Why-It-Matters / Attribution & Decision Intelligence Engine",INTELLIGENCE,INTELLIGENCE_CORE,E31;E33;E43,packages/intelligence/aetherus_intelligence/advanced.py@codex/aetherus-v2-v06-integration,MIGRATE,"Importance/why/attribution/decision-comparison execute advisory-only; command paths stripped; canonical decision-fusion.js is 1.0 prototype only"
S01,"API Gateway / Auth / Request Envelope",PLATFORM,PLATFORM_SERVICE,,services/api/security.py@codex/aetherus-v2-v06-integration,BLOCKED,"Envelope/tenant/capability boundary + local test-header adapter execute (packages/platform runtime + services/api/*); non-local runtime fails closed by design; production IdP/JWT provider is a missing external input"
S02,"Subscription Capability Service",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Capability-based gating executes; capabilities/subscription_capabilities.yaml config on same branch; no global plan-conditionals"
S03,"Workspace / Widget / Control Room Service",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; canonical personal-universe.js is 1.0 prototype only"
S04,"Follow / Alert Service",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"823 matrix IMPLEMENTED; Revision/Confidence/Window-change alert logic executes; push delivery channel integration remains"
S05,"Search / Discovery Service",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Canonical-ID/alias search executes locally; production search index infra undecided; canonical discovery-contract.js is a 1.0 stub"
S06,"Media / Live Stream Resolver",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Official-media resolver executes; live stream reachability environment-dependent; canonical observation-media.js/media-rendition-policy.js are 1.0 prototypes"
S07,"Research Dataset / Benchmark Service",PLATFORM,PLATFORM_SERVICE,,packages/product/aetherus_product/datasets.py@codex/aetherus-v2-v06-integration,MIGRATE,"Versioned dataset/hash/license manifest executes (tests/product/test_p10_research_datasets.py); platform runtime shares boundary"
S08,"Operations / Tenant / Audit Service",PLATFORM,PLATFORM_SERVICE,,packages/product/aetherus_product/operations.py@codex/aetherus-v2-v06-integration,MIGRATE,"Tenant isolation/audit/advisory-only operations execute (tests/product/test_p11_operations_runtime.py)"
S09,"Job Queue / Scheduler",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Idempotent async job semantics execute in local runtime; production queue backend (Redis/Celery class) not selected"
S10,"Observability / Evidence Manifest",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Phase evidence JSON pipeline is mature (backend/phase_status.py + artifacts/evidence/*); metrics/logs/traces production stack external"
S11,"Security / License / Data Governance",PLATFORM,PLATFORM_SERVICE,,packages/platform/aetherus_platform/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Redaction (backend/ingestion/redaction.py) + security/claim_policy.yaml + source_grade_registry.yaml execute; production secret manager external"
S12,"Deployment / Backup / DR",PLATFORM,PLATFORM_SERVICE,,docker-compose.yml@codex/aetherus-v2-v06-integration,BLOCKED,"Dockerfile/compose(dev,p1,p3,staging)/CI/backup-restore contracts exist and local backup-restore verified; Docker runtime + production PostgreSQL + secrets + deployment environment are missing external inputs; canonical tools/deploy-v2-three.sh covers PD preview only"
L01,"LLM Gateway",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,BLOCKED,"Deterministic safe local provider + timeout degraded mode + Intelligence-Packet-only path execute; external LLM provider credential (OpenAI/Claude/Gemini) is a missing external input"
L02,"Model Router",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Routing by difficulty/cost/tier executes against local provider; real multi-model routing unverifiable until L01 credential exists"
L03,"Tool Orchestrator",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Tool permission via capability + science-delegation boundary executes; approved-tool gate tested in intelligence orchestrator"
L04,"Context Composer",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Minimal Event/Revision/Evidence context assembly executes; contracts/schemas/IntelligencePacket.schema.json defines the packet"
L05,"Explanation Agent",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Audience-level explanation from Intelligence Packet only; quality with a real model unverified until L01 unblocked"
L06,"Claim & Citation Validator",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Claim/Evidence/ValidationState check executes with security/claim_policy.yaml; canonical ai-evidence.js is 1.0 prototype only"
L07,"Personal / Workspace Context",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Follow/Control-Room/capability context binding executes within authorization boundary"
L08,"Briefing & Report Generator",LLM,LLM_LAYER,,packages/llm/aetherus_llm/runtime.py@codex/aetherus-v2-v06-integration,MIGRATE,"Structured-Intelligence-only brief/report generation executes with local provider; production report quality gated on L01"
