id,name,category,priority,maturity,phase,existingBasis,action,dependencies,module,definitionOfDone
STO-005,Archive Catalog,Storage/Archive,P1,SPECIFIED_NEXT,Wave 3,No online NAS catalog,Index region/time/resolution/source/path/restore state,STO-003;FND-012,,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-006,Restore Engine,Storage/Archive,P1,IMPLEMENTED_FOUNDATION,Wave 3,No restore orchestration,NAS -> temporary S3 -> CloudFront only,STO-005;PAY-003,storage/restore-planner.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-007,Retention and Storage Governor,Storage/Archive,P1,IMPLEMENTED_FOUNDATION,Wave 3,Handler-specific retention,"72h hot, pressure tiers, event exceptions and shadow period",STO-004,storage/archive-verification.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-008,Delta Cloud Keyframe Pack,Storage/Archive,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Store keyframes plus deltas to reduce cloud archive growth,CLD-005;STO-001,storage/delta-pack.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-009,Event Capsule Builder,Storage/Archive,P1,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Preserve high-value typhoon/heavy-rain/error cases as replay packages,STO-001,storage/event-capsule.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
STO-010,Replay Rehydration Engine,Storage/Archive,P2,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,Reconstruct service tiles from canonical archive version,STO-005;STO-006,storage/replay-rehydration.js,NAS is never a LIVE dependency and S3 deletion cannot occur before verified shadow test
VIS-001,DATA TOWER,Visual,P0,REFACTOR,Wave 1,prototype tourism radial cylinders,Use real cells when available; preserve aggregate truth otherwise,FND-010,visual/tower.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-002,DATA RELIEF,Visual,P1,REUSE_WITH_ADAPTER,Wave 1,v8 human-relief.js,Add terrain/data morph and country clipping,GEO-001,geo/terrain-data-morph.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-003,DATA FIELD,Visual,P0,REUSE_WITH_ADAPTER,Wave 1,Existing weather/ocean canvas grids,"Standardize scalar field, legend and time interpolation",FND-011,visual/visual-manifest.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-004,DATA FLOW,Visual,P1,REUSE_WITH_ADAPTER,Wave 1,v8 shared-flow.js and wind renderer,Use proven U/V vectors and visible-tile advection,FND-011,visual/flow.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-005,DATA NETWORK,Visual,P1,IMPLEMENTED_FOUNDATION,Wave 1,Feature-specific line layers only,"Shared node/line renderer contract for rivers, roads and networks",FND-011,human-flow/spatial-graph.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-006,DATA VOLUME,Visual,P1,IMPLEMENTED_FOUNDATION,Wave 1,Current clouds are imagery,Three-shell/mobile and bounded half-volume/desktop policy,FND-002,visual/volume.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-007,DATA PULSE,Visual,P1,REUSE_WITH_ADAPTER,Wave 1,Quake/lightning/event entities,Unify observed/forecast/simulation pulse semantics,FND-011,visual/semantic-linter.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-008,DATA TRACK,Visual,P1,REUSE_WITH_ADAPTER,Wave 1,Cyclone/orbit/motion controllers,Unify past/current/forecast/scenario paths,FND-011,adapters/v8-compat.js,"Engine follows common runtime, evidence, LOD and disposal contract"
VIS-009,DATA BEACON,Visual,P0,REUSE_WITH_ADAPTER,Wave 1,POI/station/buoy points and clustering,Minimal point/ring/cluster renderer with label caps,FND-011,visual/visual-manifest.js,"Engine follows common runtime, evidence, LOD and disposal contract"
WX-001,Weather Detail Information Architecture,Weather,P1,SPECIFIED_NEXT,Wave 2,Weather Card v7 exists,Current -> Brief -> hourly -> 10-day -> radar/precip -> details,FND-016,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-002,Weather Spatiotemporal Fusion,Weather,P1,SPECIFIED_NEXT,Wave 2,KMA/global feeds independent,Canonical location/time/unit/altitude/evidence snapshot,FND-006;HF-001,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-003,Observation Quality and Provenance,Weather,P1,HARDEN,Wave 2,KMA/AirKorea freshness exists separately,Shared station/radar/satellite/model QC,FND-005;WX-002,,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
WX-004,Multi-Model Ensemble,Weather,P1,IMPLEMENTED_FOUNDATION,Wave 2,Several model adapters exist,"Normalize members, skill weights, spread and agreement",WX-002,weather/ensemble.js,Official KMA output and Earthus analysis are labelled separately and calibrated before public probabilities
