id,name,category,priority,maturity,phase,module,module_evidence,intelligence_layer,v4_action,id_policy
CLD-007,6h-10d Forecast Cloud Volume,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-forecast.js,prototype/js/earthus2/v02/cloud/cloud-forecast.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-008,Cloud Confidence and Uncertainty,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-forecast.js,prototype/js/earthus2/v02/cloud/cloud-forecast.js,CONFIDENCE_UNCERTAINTY,REUSE/HARDEN_CONFIDENCE; NUMERIC_CONFIDENCE_REQUIRES_CALIBRATION,PRESERVE_EXISTING_ID
CLD-009,Adaptive Cloud Renderer,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,cloud/cloud-render-policy.js,prototype/js/earthus2/v02/cloud/cloud-render-policy.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
CLD-010,Procedural Cloud Detail Synthesizer,Cloud,P2,IMPLEMENTED_FOUNDATION,Wave 3,cloud/procedural-detail.js,prototype/js/earthus2/v02/cloud/procedural-detail.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-001,Provider Adapter SDK,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/provider-adapter-sdk.js,prototype/js/earthus2/v03/data/provider-adapter-sdk.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-002,Canonical Tile Compiler,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/tile-compiler.js,prototype/js/earthus2/v03/data/tile-compiler.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-003,Reprojection and Resampling Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/reprojection-resampling.js,prototype/js/earthus2/v03/data/reprojection-resampling.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-004,Time Slice Compiler,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/time-slice.js,prototype/js/earthus2/v03/data/time-slice.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-005,Multi-tier Cache Coordinator,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/cache-coordinator.js,prototype/js/earthus2/v03/data/cache-coordinator.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-006,Adaptive Tile Prefetch Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/adaptive-prefetch.js,prototype/js/earthus2/v03/data/adaptive-prefetch.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-007,Revision and Reconciliation Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/revision-engine.js,prototype/js/earthus2/v03/data/revision-engine.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
DAT-008,Feature Snapshot Store Contract,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/feature-snapshot.js,prototype/js/earthus2/v03/data/feature-snapshot.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
DAT-009,Spatial Identity Resolution Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,data/spatial-identity-resolution.js,prototype/js/earthus2/v04/data/spatial-identity-resolution.js,DATA_BACKEND_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
DAT-010,Learning Data Factory,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 4,data/learning-data-factory.js,prototype/js/earthus2/v04/data/learning-data-factory.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
FND-001,Cesium Globe Core Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,adapters/v8-compat.js,prototype/js/earthus2/v02/adapters/v8-compat.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-002,Thermal and Render Quality Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,core/resource-governor.js,prototype/js/earthus2/v02/core/resource-governor.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-003,Truth and Evidence Contract Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,core/canonical-signal.js,prototype/js/earthus2/v02/core/canonical-signal.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
FND-004,Unified Time Adapter,Foundation,P0,REUSE_WITH_ADAPTER,Wave 0,adapters/v8-compat.js,prototype/js/earthus2/v02/adapters/v8-compat.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-005,Provider and Source Registry,Foundation,P0,HARDEN,Wave 0,paid/rights-gate.js,prototype/js/earthus2/v02/paid/rights-gate.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
FND-006,Canonical Signal Contract,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/canonical-signal.js,prototype/js/earthus2/v02/core/canonical-signal.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
FND-007,Engine Runtime SDK,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/engine-runtime.js,prototype/js/earthus2/v02/core/engine-runtime.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-008,Resource Ownership Governor,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/resource-governor.js,prototype/js/earthus2/v02/core/resource-governor.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-009,Scene Orchestrator,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/scene-orchestrator.js,prototype/js/earthus2/v02/core/scene-orchestrator.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-010,Truth Budget Engine,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/truth-budget.js,prototype/js/earthus2/v02/core/truth-budget.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
FND-011,Visual Manifest and Semantic Linter,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,visual/visual-manifest.js + visual/semantic-linter.js,prototype/js/earthus2/v02/visual/semantic-linter.js;prototype/js/earthus2/v02/visual/visual-manifest.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-012,Canonical Signal Lake Index,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,storage/canonical-lake.js,prototype/js/earthus2/v02/storage/canonical-lake.js,EVIDENCE_TRUTH_DATA,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
FND-013,Geospatial Reference Engine,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,geo/geospatial-reference.js,prototype/js/earthus2/v02/geo/geospatial-reference.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-014,Country Focus Geometry and Dimming,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,geo/country-focus.js,prototype/js/earthus2/v02/geo/country-focus.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-015,Terrain Source and LOD Broker,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,geo/terrain-source-broker.js + geo/terrain-lod.js,prototype/js/earthus2/v02/geo/terrain-lod.js;prototype/js/earthus2/v02/geo/terrain-source-broker.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-016,Paid Intelligence Delivery Shell,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,paid/entitlement.js + paid/intelligence-orchestrator.js,prototype/js/earthus2/v02/paid/entitlement.js;prototype/js/earthus2/v02/paid/intelligence-orchestrator.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
FND-017,Planet Intelligence Orchestrator,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/planet-intelligence-orchestrator.js,prototype/js/earthus2/v04/core/planet-intelligence-orchestrator.js,FUSION_STATE_ORCHESTRATION,PROMOTE_AS_ROOT_ORCHESTRATOR; DO_NOT_CREATE_SECOND_INTELLIGENCE_ORCHESTRATOR,PRESERVE_EXISTING_ID
FND-018,Device Network Battery Governor,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,core/device-network-governor.js,prototype/js/earthus2/v04/core/device-network-governor.js,FOUNDATION_SUPPORT,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
GEO-001,Terrain/Data Morph Engine,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 1,geo/terrain-data-morph.js,prototype/js/earthus2/v02/geo/terrain-data-morph.js,EXPERIENCE_RENDER,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
GEO-002,Bathymetry and Trench Level 1,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 2,geo/bathymetry-policy.js,prototype/js/earthus2/v02/geo/bathymetry-policy.js,EXPERIENCE_RENDER,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
GEO-003,Trench Camera Level 2,Geo/Terrain,P2,IMPLEMENTED_FOUNDATION,Wave 3,geo/trench-camera.js,prototype/js/earthus2/v04/geo/trench-camera.js,EXPERIENCE_RENDER,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
GEO-004,Underwater Camera Level 3,Geo/Terrain,P2,FUTURE_VISION,Future,None,,LOCKED_FUTURE,KEEP_LOCKED_NO_IMPLEMENTATION_WITHOUT_GAP_GATE,PRESERVE_EXISTING_ID
GEO-005,Place Hierarchy Resolver,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 1,geo/place-hierarchy.js,prototype/js/earthus2/v03/geo/place-hierarchy.js,EXPERIENCE_RENDER,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-001,Unified Official Warning Engine,Hazard,P0,IMPLEMENTED_FOUNDATION,Wave 3,hazards/warning-engine.js,prototype/js/earthus2/v03/hazards/warning-engine.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-002,Hazard Event Graph,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/event-graph.js,prototype/js/earthus2/v03/hazards/event-graph.js,EVENT_REASONING_INTELLIGENCE,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
HAZ-003,Earthquake Depth Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/earthquake-depth.js,prototype/js/earthus2/v03/hazards/earthquake-depth.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-004,Seismic Cluster Context Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/earthquake-depth.js,prototype/js/earthus2/v03/hazards/earthquake-depth.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-005,Tsunami Official Alert Integrator,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/tsunami-alert.js,prototype/js/earthus2/v03/hazards/tsunami-alert.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-006,Tsunami Travel-Time Visualizer,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/tsunami-alert.js,prototype/js/earthus2/v03/hazards/tsunami-alert.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-007,Lightning Cell Tracking Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/lightning-track.js,prototype/js/earthus2/v03/hazards/lightning-track.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-008,Wildfire Hotspot Fusion Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/wildfire-smoke.js,prototype/js/earthus2/v03/hazards/wildfire-smoke.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-009,Smoke Exposure Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/wildfire-smoke.js,prototype/js/earthus2/v03/hazards/wildfire-smoke.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-010,Cyclone Multi-Agency Track Resolver,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/cyclone-resolver.js,prototype/js/earthus2/v03/hazards/cyclone-resolver.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HAZ-011,Cross-Agency Event Fusion Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,hazards/event-fusion.js,prototype/js/earthus2/v04/hazards/event-fusion.js,FUSION_STATE_ORCHESTRATION,REUSE_AS_INTELLIGENCE_CORE_OR_SUPPORT; EXTEND_BY_CONTRACT/ADAPTER_ONLY,PRESERVE_EXISTING_ID
HF-001,Spatiotemporal Fusion,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/spatiotemporal-fusion.js,prototype/js/earthus2/v04/human-flow/spatiotemporal-fusion.js,FUSION_STATE_ORCHESTRATION,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-002,Earthus Spatial Cell Registry,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/spatial-cell-registry.js,prototype/js/earthus2/v04/human-flow/spatial-cell-registry.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-003,Density Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-004,Trend Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-005,Evidence-limited Flow Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-006,Baseline Crowd Forecast v0,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-007,Ground Truth Verification,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/forecast-lifecycle.js,prototype/js/earthus2/v02/human-flow/forecast-lifecycle.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-008,Calibration Loop v1,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/forecast-lifecycle.js,prototype/js/earthus2/v02/human-flow/forecast-lifecycle.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-009,Confidence Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,core/confidence.js,prototype/js/earthus2/v02/core/confidence.js,CONFIDENCE_UNCERTAINTY,REUSE/HARDEN_CONFIDENCE; NUMERIC_CONFIDENCE_REQUIRES_CALIBRATION,PRESERVE_EXISTING_ID
HF-010,Anomaly Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-011,Capacity Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-012,Risk Hard-Gate Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/algorithms.js,prototype/js/earthus2/v02/human-flow/algorithms.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-013,Spatial Graph Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/spatial-graph.js,prototype/js/earthus2/v02/human-flow/spatial-graph.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-014,Spatial Digital Twin,Human Flow,P2,IMPLEMENTED_FOUNDATION,Wave 4,human-flow/digital-twin.js,prototype/js/earthus2/v04/human-flow/digital-twin.js,SCENARIO_COUNTERFACTUAL_SUPPORT,REUSE_FOR_DIGITAL_STATE_BASELINE; DO_NOT_RENAME,PRESERVE_EXISTING_ID
HF-015,Domain Policy Registry,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,core/domain-policy.js,prototype/js/earthus2/v02/core/domain-policy.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-016,Best Window Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,core/domain-policy.js,prototype/js/earthus2/v02/core/domain-policy.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-017,Watch and Notification Decision,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,human-flow/watch-notification-decision.js,prototype/js/earthus2/v05/human-flow/watch-notification-decision.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HF-018,Human Flow Scenario,Human Flow,P2,IMPLEMENTED_FOUNDATION,Wave 4,human-flow/scenario.js,prototype/js/earthus2/v04/human-flow/scenario.js,SCENARIO_COUNTERFACTUAL_SUPPORT,REUSE_FOR_SCENARIO_SANDBOX; COUNTERFACTUAL_CONTRACT_IS_OVERLAY_NOT_NEW_ENGINE_ID,PRESERVE_EXISTING_ID
HYD-001,Hydrography Network,Hydrology,P1,IMPLEMENTED_FOUNDATION,Wave 4,hydrology/hydrography-network.js,prototype/js/earthus2/v02/hydrology/hydrography-network.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
HYD-002,River Visual Network Adapter,Hydrology,P1,IMPLEMENTED_FOUNDATION,Wave 4,hydrology/river-visual-network.js,prototype/js/earthus2/v04/hydrology/river-visual-network.js,DOMAIN_ENGINE,PRESERVE_AND_REUSE; NO_RENAME; NO_NEW_ENGINE_UNLESS_GAP_EVIDENCE,PRESERVE_EXISTING_ID
