id,name,category,priority,maturity,phase,existingBasis,action,dependencies,module,definitionOfDone
CLD-007,6h-10d Forecast Cloud Volume,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,NWP clouds exist only as inputs,Low/mid/high synthesis and ensemble-dominant long range,CLD-005;WX-004,cloud/cloud-forecast.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-008,Cloud Confidence and Uncertainty,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,No cloud-specific uncertainty,"Source agreement, retrieval quality and ensemble spread",CLD-005;HF-009,cloud/cloud-forecast.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-009,Adaptive Cloud Renderer,Cloud,P1,IMPLEMENTED_FOUNDATION,Wave 3,Current clouds are imagery,Mobile 3-shell; desktop bounded half-volume; 7d+ probability volume,CLD-008;VIS-006;FND-002,cloud/cloud-render-policy.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
CLD-010,Procedural Cloud Detail Synthesizer,Cloud,P2,IMPLEMENTED_FOUNDATION,Wave 3,New v0.2 proposal,"Generate high-frequency visual detail from compact state, not stored voxels",CLD-005;CLD-009,cloud/procedural-detail.js,"Regional source, state schema, horizon label, uncertainty and mobile thermal evidence are present"
DAT-001,Provider Adapter SDK,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,1.0 handlers have provider-specific clients,Standard adapter lifecycle with validate/normalize/health result,FND-005;FND-006,data/provider-adapter-sdk.js,Provider failure is typed and cannot fabricate normalized data
DAT-002,Canonical Tile Compiler,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,S3 JSON/PNG/Grid outputs exist,Compile quantized Earthus scalar/vector tile manifests,FND-012;DAT-003,data/tile-compiler.js,"Tiles are versioned, bounded and round-trip tested"
DAT-003,Reprojection and Resampling Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Per-feature grids use different resolutions,Shared nearest/bilinear foundation; conservative methods remain dataset-specific,FND-013,data/reprojection-resampling.js,No silent unit/coordinate/resolution mismatch
DAT-004,Time Slice Compiler,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Feature timelines exist independently,Align source frames to canonical target slices and evidence modes,FND-004;FND-006,data/time-slice.js,Observed/forecast/history/scenario slices never mix implicitly
DAT-005,Multi-tier Cache Coordinator,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Browser/S3 cache and v0.2 3-frame policy exist,Coordinate GPU/RAM/disk/CDN frame residency,FND-002;FND-008,data/cache-coordinator.js,Playback cache remains bounded on mobile
DAT-006,Adaptive Tile Prefetch Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Feature-specific prefetch exists,Prefetch only relevant forward/back time slices by network/memory state,DAT-005;FND-004,data/adaptive-prefetch.js,No runaway background download
DAT-007,Revision and Reconciliation Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Provider revisions/backfills are handler-specific,Detect same-time provider revisions and controlled backfill windows,FND-012,data/revision-engine.js,Revision is distinguishable from new observation
DAT-008,Feature Snapshot Store Contract,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Forecast inputs are not one common immutable object,Create reproducible feature snapshots for forecast/analysis,FND-006;FND-012,data/feature-snapshot.js,Every model result can point to an immutable feature snapshot
DAT-009,Spatial Identity Resolution Engine,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 1,Place hierarchy and provider mappings exist but no common ambiguity-aware entity resolver,"Resolve provider places into Earthus master entities using external ID first, then normalized name/address/distance scoring",FND-005;GEO-005,data/spatial-identity-resolution.js,Ambiguous matches remain AMBIGUOUS and provider IDs never silently become Earthus IDs
DAT-010,Learning Data Factory,Data Plane,P1,IMPLEMENTED_FOUNDATION,Wave 4,"Forecast, feature snapshots, ground truth and regime engines exist separately","Build privacy-minimized, rights-gated training examples from forecast -> actual closed loop",DAT-008;HF-007;INT-004;FND-006,data/learning-data-factory.js,No example without ground truth and AI-use rights; user identifiers are removed
FND-001,Cesium Globe Core Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,prototype/js/viewer.js; Cesium 1.143,Freeze renderer contract and expose v2 scene adapter only,,adapters/v8-compat.js,Existing / globe remains unchanged and /v2 can mount without duplicate WebGL context
FND-002,Thermal and Render Quality Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,prototype/js/power.js; render-quality.js,Reuse and bind v2 thermal profiles; rerun real-device gates,FND-001,core/resource-governor.js,"30-cycle toggle, context-loss and thermal tests pass"
FND-003,Truth and Evidence Contract Adapter,Foundation,P0,REUSE_AS_IS,Wave 0,prototype/js/v8/truth-contract.js,Map v8 data classes to v2 evidence kinds without semantic drift,,core/canonical-signal.js,"Official observation/forecast/warning, Earthus analysis and simulation remain distinct"
FND-004,Unified Time Adapter,Foundation,P0,REUSE_WITH_ADAPTER,Wave 0,prototype/js/v8/unified-time.js,Extend to LIVE/FORECAST/HISTORY/SCENARIO slices and availability manifests,FND-003,adapters/v8-compat.js,No current/forecast/history state is mixed and time transitions reuse objects
FND-005,Provider and Source Registry,Foundation,P0,HARDEN,Wave 0,v8 source-registry + handler constants,"Unify endpoint, schema, rights, freshness, health, quota and provenance",FND-003,paid/rights-gate.js,Every production provider has a versioned contract and status row
FND-006,Canonical Signal Contract,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,No shared provider observation model in 1.0,Create immutable canonical signal with geometry/time/evidence/fingerprint,FND-003;FND-005,core/canonical-signal.js,"Every derived value is traceable to source, time, processor and rights"
FND-007,Engine Runtime SDK,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,v8 runtime coordinator is partial,Provide common lifecycle and adapter contract for all v2 engines,FND-001;FND-002,core/engine-runtime.js,"Every engine can mount, update, measure, suspend and dispose deterministically"
FND-008,Resource Ownership Governor,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Feature-specific abort/dispose paths exist,"Centralize requests, timers, GPU disposers and one-data-hero ownership",FND-007,core/resource-governor.js,"Layer OFF leaves no owned requests, timers or resources"
FND-009,Scene Orchestrator,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,v8 scene-state/runtime coordinator,"Coordinate 6 scene modes, focus, dimming, labels and resource transitions",FND-007;FND-008,core/scene-orchestrator.js,One primary dynamic engine and one static context engine at most
FND-010,Truth Budget Engine,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,New v0.2 proposal derived from no-fabricated-precision rule,"Cap visual fidelity from evidence, resolution, confidence, rights and thermal state",FND-006,core/truth-budget.js,Aggregate data can never silently become precision geometry
FND-011,Visual Manifest and Semantic Linter,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,v8 visual-layer-registry,Generate menus from one manifest and lint visual truth semantics,FND-003;FND-009;FND-010,visual/visual-manifest.js + visual/semantic-linter.js,"Red, forecast, simulation and label semantics are consistently enforced"
FND-012,Canonical Signal Lake Index,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,S3 object data plane; no shared observation DB,"Add versioned keys, revision manifest, watermarks and backfill windows",FND-006,storage/canonical-lake.js,Observation and forecast runs are reproducible without replacing S3 data plane
FND-013,Geospatial Reference Engine,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,WGS84 used per feature; no shared antimeridian engine,"Normalize WGS84, dateline geometries, bounds, centroids and spatial tests",FND-006,geo/geospatial-reference.js,Polygon/MultiPolygon/date-line cases produce stable focus geometry
FND-014,Country Focus Geometry and Dimming,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Country reference assets and v8 scene state,"Calculate focus camera, clipping and context dimming without data duplication",FND-009;FND-013,geo/country-focus.js,Selected country is emphasized while only intersecting tiles are requested
FND-015,Terrain Source and LOD Broker,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Existing Cesium terrain and reference builders,Select global/national/precision DEM and screen-space LOD by budget,FND-013;FND-014,geo/terrain-source-broker.js + geo/terrain-lod.js,No LOD pop and mobile tile budget is bounded
FND-016,Paid Intelligence Delivery Shell,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,Supabase plans/orders and v8 entitlement boundary,Expose NOW/WHY/NEXT/FOR ME/COMPARE/SCENARIO/EVIDENCE as allow/preview/deny,FND-003;FND-005,paid/entitlement.js + paid/intelligence-orchestrator.js,"Official safety is free and premium tabs are previewed, not hidden"
FND-017,Planet Intelligence Orchestrator,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,"Scene Orchestrator, Truth Budget, Resource Governor already exist separately","Compile one execution plan from scene, truth, device/network quality and resource ownership",FND-009;FND-010;FND-008;FND-018,core/planet-intelligence-orchestrator.js,"One primary dynamic engine, context layer, fetch policy, degrade warnings and previous-engine disposal are explicit"
FND-018,Device Network Battery Governor,Foundation,P0,IMPLEMENTED_FOUNDATION,Wave 0,"Thermal/quality adapter exists but network, battery and reduced motion are not one policy","Resolve FULL/BALANCED/LITE/STATIC quality from device memory, network, save-data, battery, thermal and accessibility",FND-002,core/device-network-governor.js,Quality policy deterministically lowers cloud/terrain/prefetch/FPS without inventing data
GEO-001,Terrain/Data Morph Engine,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 1,Existing terrain plus human relief,Morph actual terrain to bounded data relief without changing raw values,FND-015,geo/terrain-data-morph.js,Tooltip retains original value and morph reuses geometry
GEO-002,Bathymetry and Trench Level 1,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 2,GEBCO manifest and ocean layers,Separate sea surface and negative elevation with device gates,FND-015,geo/bathymetry-policy.js,"Level 1 sea-surface suppression, depth scale and memory budget pass"
GEO-003,Trench Camera Level 2,Geo/Terrain,P2,IMPLEMENTED_FOUNDATION,Wave 3,No production underwater camera,Country/ocean to trench camera transition and depth labels,GEO-002,geo/trench-camera.js,Level 2 camera choreography targets verified bathymetry without claiming full underwater navigation
GEO-004,Underwater Camera Level 3,Geo/Terrain,P2,FUTURE_VISION,Future,Not available in 1.0,Limited underwater entry with fog/light/particles,GEO-003,,Only opens after Level 2 and device memory gates
GEO-005,Place Hierarchy Resolver,Geo/Terrain,P1,IMPLEMENTED_FOUNDATION,Wave 1,Countries/regions/POIs exist in separate registries,Resolve Earth->Country->Region->City->District->Spot ancestry,FND-013,geo/place-hierarchy.js,Place ancestry is canonical and provider IDs remain external
HAZ-001,Unified Official Warning Engine,Hazard,P0,IMPLEMENTED_FOUNDATION,Wave 3,KMA/NWS/regional warning feeds exist,Normalize active official warnings with severity/source precedence,FND-003;FND-005,hazards/warning-engine.js,Active official warning cannot be downranked by Earthus
HAZ-002,Hazard Event Graph,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,Hazard layers exist independently,Link evidence-backed related events without causal overclaim,FND-006,hazards/event-graph.js,Every relation stores evidence/confidence
HAZ-003,Earthquake Depth Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,USGS/KMA/JMA quake points exist,Render verified hypocenter depth below terrain with bounded exaggeration,FND-013;VIS-007,hazards/earthquake-depth.js,Depth visual is not P/S wave prediction
HAZ-004,Seismic Cluster Context Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,Historical quake data exists,"Spatiotemporal clustering for context, not aftershock prediction",HAZ-003,hazards/earthquake-depth.js,Cluster label explicitly says context not prediction
HAZ-005,Tsunami Official Alert Integrator,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,PTWC/NTWC/JMA/KMA tsunami sources exist,"Separate official alerts, gauge observations, history and simulation",HAZ-001,hazards/tsunami-alert.js,Official alert remains free and primary
HAZ-006,Tsunami Travel-Time Visualizer,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,Official/historical travel-time products may exist,Render only provided official/model travel-time rings in current phase,HAZ-005;VIS-007,hazards/tsunami-alert.js,Does not numerically simulate propagation in P1
HAZ-007,Lightning Cell Tracking Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,KMA lightning points exist,Cluster recent strokes and track centroid motion as evidence,HAZ-002,hazards/lightning-track.js,Centroid motion is estimated and labeled
HAZ-008,Wildfire Hotspot Fusion Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,NASA FIRMS wildfire feed exists,Cluster thermal hotspots without inventing burn perimeter,HAZ-002,hazards/wildfire-smoke.js,Hotspot cluster != official fire perimeter
HAZ-009,Smoke Exposure Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,Wind/air/smoke model inputs available by provider,Integrate model/observed smoke along areas/routes,HAZ-008;INT-006,hazards/wildfire-smoke.js,Not medical dose; source kind displayed
HAZ-010,Cyclone Multi-Agency Track Resolver,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,KMA/JMA/NHC official tracks exist,Choose regional primary agency and preserve alternates; never average official tracks,HAZ-001;VIS-008,hazards/cyclone-resolver.js,Agency disagreement remains visible
HAZ-011,Cross-Agency Event Fusion Engine,Hazard,P1,IMPLEMENTED_FOUNDATION,Wave 3,"Hazard event graph and agency adapters exist, but duplicate cross-agency events are not canonicalized",Group likely same events by type/time/distance while preserving agency-specific values and geometry,HAZ-001;HAZ-002,hazards/event-fusion.js,Agency values are not averaged and conflicting official records remain inspectable
HF-001,Spatiotemporal Fusion,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Provider-specific mappings exist,"Align space, time, units, resolution and source mapping",FND-006;FND-013;FND-012,human-flow/spatiotemporal-fusion.js,Signals are aligned to one snapshot time with explicit staleness rejection and required-variable degradation
HF-002,Earthus Spatial Cell Registry,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Seoul 121-place registry only,Canonical area/cell/POI mapping with geometry provenance,HF-001,human-flow/spatial-cell-registry.js,Versionable Earthus cells and provider mappings are registered without using provider IDs as master IDs
HF-003,Density Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Official population ranges exist,"Density and comparable crowd index, separate from renderer",HF-002,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-004,Trend Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Timeline samples exist,EWMA + Theil-Sen + persistence,HF-003,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-005,Evidence-limited Flow Algorithm,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No verified OD in aggregate data,Output direction only with OD/graph evidence,HF-002,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-006,Baseline Crowd Forecast v0,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Provider forecast exists; Earthus model output not released,Explainable baseline + bounded factors before calibration,HF-003;HF-004,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-007,Ground Truth Verification,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Forecast release control plane exists,Attach every forecast to actual observation and metrics,HF-006;FND-012,human-flow/forecast-lifecycle.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-008,Calibration Loop v1,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No unified calibration loop,Forecast v0 -> shadow -> actual -> calibration -> canary,HF-007,human-flow/forecast-lifecycle.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-009,Confidence Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Freshness logic is feature-specific,"Combine quality, coverage, agreement and historical error",FND-006;HF-007,core/confidence.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-010,Anomaly Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No common anomaly service,Robust seasonal deviation + persistence + correlated signals,HF-003;HF-004,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-011,Capacity Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Validated capacity sparse,Calculate only from validated capacity; otherwise UNKNOWN,HF-002,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-012,Risk Hard-Gate Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Official warning paths exist,Official emergency and closure override derived scores,HF-009,human-flow/algorithms.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-013,Spatial Graph Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,No common graph,"Typed nodes/edges, path and bottleneck foundation",HF-002,human-flow/spatial-graph.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-014,Spatial Digital Twin,Human Flow,P2,IMPLEMENTED_FOUNDATION,Wave 4,No canonical gate/walkway/safe-zone twin,Bind verified facilities and status to graph,HF-013,human-flow/digital-twin.js,Digital-twin entities require verified geometry and capacity provenance
HF-015,Domain Policy Registry,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Policies only in documents,Separate Tourism/Surf/Fishing/Hiking/etc. from common score,HF-012,core/domain-policy.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-016,Best Window Engine,Human Flow,P1,IMPLEMENTED_FOUNDATION,Wave 2,Recommendation concepts and Watch exist,Score time windows with official hard gates and alternatives,HF-015;HF-006,core/domain-policy.js,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-017,Watch and Notification Decision,Human Flow,P1,HARDEN,Wave 2,Supabase watch/push foundations,"Cooldown, dedupe, confidence, consent, deep link",HF-016;FND-016,,"Output stores evidence, state, confidence and version; no fabricated direction/capacity"
HF-018,Human Flow Scenario,Human Flow,P2,IMPLEMENTED_FOUNDATION,Wave 4,No common scenario engine,Graph/rule what-if isolated from LIVE,HF-013;HF-014,human-flow/scenario.js,Scenario output is isolated from LIVE state and explicitly SIMULATION
HYD-001,Hydrography Network,Hydrology,P1,IMPLEMENTED_FOUNDATION,Wave 4,River layers are not a common graph,"Represent main stem, tributaries, basin and downstream path",VIS-005;FND-013,hydrology/hydrography-network.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-002,River Visual Network Adapter,Hydrology,P1,IMPLEMENTED_FOUNDATION,Wave 4,Feature-specific line renderer,Bind hydrography hierarchy to DATA NETWORK,HYD-001;VIS-005,hydrology/river-visual-network.js,River network uses verified hierarchy; direction is hidden unless source evidence exists
HYD-003,Runoff Engine,Hydrology,P2,IMPLEMENTED_FOUNDATION,Wave 4,No runoff engine,SCS runoff foundation; requires calibrated basin parameters,WX-016;HYD-001,hydrology/runoff-routing.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-004,River Routing Engine,Hydrology,P2,IMPLEMENTED_FOUNDATION,Wave 4,No routing engine,Linear reservoir foundation; replace/validate per basin,HYD-003,hydrology/runoff-routing.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-005,Flood/Inundation Scenario,Hydrology,P2,IMPLEMENTED_FOUNDATION,Wave 4,Official flood warnings only,"Scenario gate requires DEM, hydrography and calibration",HYD-004;GEO-002,hydrology/runoff-routing.js,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
HYD-006,Tsunami Bathymetric Propagation,Hydrology,P2,FUTURE_VISION,Wave 4,Official alert/travel-time data exists,Numerical propagation only after bathymetry and validation,GEO-003,,"Cloud, precipitation, runoff, river routing and flood remain separate evidence types"
INT-001,Planet State Graph,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Signals are currently consumed by feature,Shared graph connecting location/time/domain signals and evidence,FND-006;HAZ-002,intelligence/planet-state-graph.js,Graph relations do not imply causality without evidence
INT-002,Cross-Domain Correlation Engine,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Weather/Human/Ocean signals can share time axis,Calculate statistical association with minimum sample rule,INT-001;FND-004,intelligence/correlation.js,Correlation is never phrased as causation
INT-003,Analog Event Retrieval Engine,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Historical archive/event capsules planned,Rank comparable cases using normalized feature distance,STO-009;DAT-008,intelligence/analog-retrieval.js,Analog similarity exposes features and distance
INT-004,Regime Detection Engine,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Trend systems exist per domain,Classify stable/rising/falling/volatile regimes from time series,FND-004,intelligence/regime-detector.js,Rule is explanatory and domain thresholds remain configurable
INT-005,Personal Impact Engine,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Paid Personal Context specified in v0.2,Map verified signals to saved schedules/places with official gates,PAY-005;HF-012,intelligence/personal-impact.js,No hidden health or sensitive inference
INT-006,Route Exposure Engine,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Routes can be represented as graph/segments,Integrate weather/air/hazard exposure by segment,HF-013;FND-006,intelligence/route-exposure.js,Official closures/warnings override route score
INT-007,Decision Explanation Engine,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,Best Window and Trust Ledger exist,"Return ranked contributions, gates and evidence for every recommendation",HF-016;OPS-018,intelligence/decision-explanation.js,No recommendation without reason codes
INT-008,Event Story Orchestrator,Intelligence,P1,IMPLEMENTED_FOUNDATION,Wave 4,DATA STORY became orchestration layer,Compose time/camera/layer/evidence steps without inventing facts,FND-004;FND-009;OPS-018,intelligence/story-orchestrator.js,Story steps retain evidence kind and source refs
OCN-001,Ocean State Fusion Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,SST/wave/current/buoy layers exist separately,Canonical ocean state with scalar/vector truth separation,WX-002;FND-006,ocean/ocean-state.js,Scalar current never becomes a vector without U/V evidence
OCN-002,Surface Current Vector Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,v8 ocean-engine supports vector contract; current source may be scalar,Normalize U/V to speed/direction and bind DATA FLOW only when valid,OCN-001;VIS-004,ocean/ocean-state.js,Direction is unavailable rather than invented when vector data missing
OCN-003,Wave State Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,Wave grid exists,Normalize Hs/direction/period and controlled visual exaggeration,OCN-001;VIS-003,ocean/wave-engine.js,Visual wave height clearly marked as visualization
OCN-004,Swell Arrival Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,Swell layer exists,Deep-water group-velocity ETA foundation with explicit approximation label,OCN-003,ocean/swell-arrival.js,Nearshore effects are never claimed when not modeled
OCN-005,Tide and Sea-Level Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,Tide-gauge/sea-level sources can be added via providers,"Separate observed level, astronomical prediction and residual",DAT-001,ocean/tide-sea-level.js,Observed vs predicted vs residual are separately labeled
OCN-006,Marine Observation Fusion,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,Buoy layer already exists,Select freshest quality-qualified observation per variable,OCN-001;OPS-005,ocean/marine-observation.js,No averaging of incompatible sensor variables
OCN-007,SST Front and Eddy Feature Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,SST and current grids exist,Detect strong SST gradients and rotation proxy as derived features,OCN-001;DAT-003,ocean/sst-features.js,Features are DERIVED and not official fronts/eddies unless provider supplies them
OCN-008,Coastal Exposure Engine,Ocean,P1,IMPLEMENTED_FOUNDATION,Wave 3,Wave/swell/weather safety signals exist,Combine marine exposure with official-warning hard gate,OCN-003;OCN-004;OCN-005;HF-012,ocean/coastal-exposure.js,Official warning overrides convenience/activity scoring
OPS-001,Provider Health Engine,Operations/Governance,P0,IMPLEMENTED_FOUNDATION,Wave 1,wind/health.json and handler retries exist,Common health states and freshness SLO,FND-005,ops/provider-health.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-002,Circuit Breaker and Backoff,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,No common circuit breaker,Common breaker/backoff/last-good policy,OPS-001,ops/provider-health.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
OPS-003,Job Dependency DAG,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,60 EventBridge rules but no common DAG,Declare collector/fusion/forecast/archive dependencies,OPS-001,ops/job-dag.js,Job dependencies topologically validate and cycles/unknown dependencies fail closed
OPS-004,Dead Letter Recovery,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Lambda DLQ 0 in audit,DLQ/quarantine/replay for critical providers,OPS-003,ops/dead-letter-recovery.js,Dead-letter items retry only with idempotency and retryable error classes
OPS-005,Freshness SLO Registry,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Freshness feature-specific,Per dataset SLA and stale UX contract,OPS-001,ops/freshness-slo.js,Per-dataset freshness rules produce LIVE/STALE/UNAVAILABLE consistently
OPS-006,ModelOps Lifecycle,Operations/Governance,P1,IMPLEMENTED_FOUNDATION,Wave 3,Forecast boundary exists,Draft/Shadow/Canary/Active/Rollback/Retired gates,HF-007,ops/modelops.js,Status is evidence-based; code existence is not promoted to production-active without runtime proof
