no,id,menu,subtitle,category,before,minimum_visual,visual_effect,free_service,paid_service,trust_boundary,priority,gpu_tier,implementation_scope,dependency
30,pm10,미세먼지 PM10,현재,대기질·복사,PM10 농도를 색상 격자로 표시,더 굵은 입자층과 침강하는 먼지결을 보여 PM2.5와 시각적으로 구분하고 지표 바람과 함께 이동시킨다.,Coarse Particle Layer + Settling Grain + Wind Transport,현재 PM10 농도·등급,"PM2.5와 성분 비교, 유입·침강 시각, 개인 활동 노출 분석",입자 크기 표현은 상징적 스케일임을 명시,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
31,dust,먼지·황사,모래·사막먼지,대기질·복사,먼지 질량을 갈색 평면 띠로 표시,사막 발원지에서 솟은 먼지 기둥과 대기 리본이 대륙·해양을 건너 이동하고 침강 구역이 지표에 내려앉는다.,Dust Plume + Long-Range Ribbon + Deposition Veil,현재 먼지 농도·기본 이동,"발원 추정, 도달시간, 지역별 침강·시정·호흡 영향",자료가 출처를 직접 판별하지 못하면 “먼지”로 표기,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
32,aqi,대기질 AQI,유럽 기준,대기질·복사,여러 오염물질을 하나의 등급 색상으로 덮음,도시 주변에 숨 쉬는 공기 상태 링이 생기고 가장 나쁜 성분이 내부 입자·기체층으로 분해되어 보인다.,City Air Halo + Component Layers + Breathing Pulse,현재 AQI와 등급·기준·주요 성분,"성분별 원인, 시간 변화, 내 위치·일정·건강 프로필 영향",국가별 AQI 기준 차이를 명확히 노출,P1,M,NEXT,표준 3D 레이어·LOD·시간축
33,uv,자외선,현재,대기질·복사,UV 지수를 평면 색상으로 표시,태양에서 내려오는 자외선 노출 광선이 지형·구름 그림자에 따라 달라지고 안전한 시간창이 지표에 열린다.,Solar Exposure Rays + Terrain Shadow + Safe-Time Window,현재 UV 지수·공식 행동요령,"시간·경로별 누적 노출, 피부유형·활동 기반 보호 알림",개인 건강 조언은 일반 안내이며 의료 진단 아님,P1,M,NEXT,표준 3D 레이어·LOD·시간축
34,ozone,오존,현재,대기질·복사,오존 농도를 평면 등치색으로 표시,"지표 오존은 도시 주변 반투명 기체층, 상층 오존은 별도 고도 쉘로 분리해 같은 이름의 다른 맥락을 보여준다.",Gas Volume + Vertical Layer Split + Photochemical Glow,현재 지표 오존과 기준,"고도·시간 변화, 기온·일사와 결합한 발생 조건, 개인 노출 분석",지표 오존과 성층권 오존을 혼동하지 않게 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
35,sst,해수면 온도,현재,해양,바다 표면에 수온 색상 그라데이션 표시,바다 표면이 열 재질로 변하고 수온 전선·따뜻한 소용돌이·차가운 용승이 실제 흐름 형태로 살아난다.,Thermal Ocean Skin + Front Ridge + Eddy Relief,현재 수온·기본 전선·지역 수치,"과거·평년 비교, 어업·태풍 에너지·다이빙·해양활동 영향",표면 수온이며 깊이별 수온과 구분,P1,M,NEXT,표준 3D 레이어·LOD·시간축
36,sstanom,수온 편차,1991–2020 평년 대비,해양,평년보다 높고 낮음을 발산형 색상으로 표시,"평년에서 벗어난 따뜻한 해역은 솟는 열흔, 차가운 해역은 가라앉는 냉흔으로 보여 변화의 크기와 지속성을 시간축으로 재생한다.",Anomaly Relief + Warm/Cold Scar + Climate Timeline,현재 평년 편차와 기준기간,"장기 추세, 해양생태·어장·산호·태풍 영향, 지역 비교",기준기간·자료버전을 고정 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
37,wave,파고,큰 쪽 파도 평균,해양,파고 색상과 방향 화살표를 평면 표시,현재 목표는 파고·방향·주기를 반영한 과장된 3D 표면 파랑장이다. 실제 유체 시뮬레이션이 아니라 데이터 기반 시각화임을 표시한다.,Directional 3D Wave Field + Height Scale + Coast Interaction,현재 파고·방향·기본 예보,"7일 창, 항로·서핑·낚시·해변 위험, 모델 비교·알림",화면 파고의 시각 과장배율 명시,P0,H,STAGED,"파고/방향/주기 데이터, 수직 과장 범례"
38,swell,너울,먼바다 장주기 파도,해양,너울 높이와 주기를 색상·화살표로 표시,먼 폭풍에서 생성된 긴 파도열이 해양을 가로질러 해안에 도착하는 시간과 방향을 긴 3D 리본 파동으로 표현한다.,Long-Period Wave Trains + Remote Source + Arrival Timeline,현재 너울·주기·기본 해안 영향,"발원 폭풍, 해안별 도착시간, 낚시·해변·서핑 위험 맞춤 알림",국지 파도와 원거리 너울을 분리,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
39,current,해류,표층 흐름,해양,바다 표면의 2D 입자선으로 흐름 표시,현재 목표는 표층 해류의 3D 리본과 와류다. 깊이별 해류·수중 단면은 해구/수중 엔진 이후 확장한다.,3D Water Ribbons + Eddy Vortices + Front Interaction,현재 표층 해류·기본 흐름,"깊이별 층, 표류·선박·어업·해양쓰레기 경로, 과거·예측 비교",표층 해류와 조류·물때를 명확히 구분,P0,H,STAGED,"표층 해류 타일, 이후 수심 레이어"
40,fog,안개,시정,지표·관측,안개·시정 값을 회색 반투명 평면으로 표시,안개가 계곡·강·해안·도시 저지대를 따라 낮게 흐르고 시정 거리가 공간 링으로 줄어드는 장면을 만든다.,Terrain Fog Volume + Valley Flow + Visibility Range,현재 안개·시정·공식 경보,"해소 예상, 도로·공항·산행·촬영 경로 영향 알림",시정값과 시각적 농도 배율을 분리,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
41,drought,토양 수분,메마름 정도,지표·관측,토양수분을 갈색~파랑색 평면으로 표시,"젖은 땅은 윤기와 생명감을, 마른 땅은 거친 재질·미세 균열·식생 퇴색으로 변해 토지 상태가 지구 자체에 나타난다.",Living Ground Material + Dry Cracks + Vegetation Fade,현재 토양 수분·기본 등급,"누적 가뭄·농업·산불 위험, 과거 평년·회복 시나리오, 관심 농지 알림",현재 토양수분만으로 가뭄을 단정하지 않음,P1,M,NEXT,표준 3D 레이어·LOD·시간축
42,pressure,기압 배치,고기압·저기압,지표·관측,등압선과 H/L 기호를 평면 지도에 표시,"고기압은 대기 돔, 저기압은 대기 그릇처럼 보이고 바람이 그 주변을 휘돌아 날씨 변화의 원인을 공간적으로 설명한다.",Atmospheric Dome/Bowl + Isobar Relief + Circulation Flow,현재 기압 배치·등압선·기본 해설,"상층 흐름 결합, 저기압 발달·이동, 강수·태풍 원인 스토리와 모델 비교",지상 기압만으로 태풍 진로를 단정하지 않음,P1,M,NEXT,표준 3D 레이어·LOD·시간축
43,rain,비구름·강수,지금 내리는 양,지표·관측,레이더 강수 색상을 평면 격자로 표시,현재 목표는 실제 강수 자료 기반의 강수 커튼과 지형 접지 표현이다. 지표 유출·하천 합류·범람은 별도 수문 단계로 분리한다.,Rain Curtain + Terrain Impact + Runoff-to-River Flow,현재 강수·공식 레이더·기본 이동·경보,"시작·종료, 누적량, 유역 유출·하천 도달, 내 위치·일정 영향","구름·강수·유출 데이터를 별도 사용, 시각 물길과 실제 홍수예측 구분",P0,H,STAGED,"레이더/강수율, DEM, 이후 runoff·하천망"
44,landobs,지상 관측소,실황 관측,지표·관측,관측소 위치를 점과 팝업으로 표시,관측소가 지표 위 센서 기둥으로 서고 기온·바람·강수·기압이 높이·방향·맥동으로 실시간 반응한다.,Sensor Towers + Live Glyphs + Observation Mesh,실측 관측소 값·시각·기본 비교,"다중 관측소 추세, 품질검사, 관심지역 보간·변화 알림",실측·보정·보간 값을 구분,P2,L,LATER,경량 마커·네트워크·스토리 레이어
45,ukfc,영국 예보,영국 기상청 36곳,지표·관측,36개 지점 예보를 아이콘·숫자로 표시,영국 지형 위 36개 지역의 날씨가 작은 구름·비·바람·온도 조각으로 동시에 변하고 하루 스토리로 재생된다.,Country Weather Sculpture + Site Micro-Scenes + Daily Story,36곳 기본 예보와 국가 시각화,"지역 비교·일정·여행 경로, 모델 차이, 관심도시 알림",기관·예보 갱신시각 명시,P2,M,LATER,표준 3D 레이어·LOD·시간축
46,coverage,관측 공백,관측 적은 곳,지표·관측,관측소가 적은 영역을 회색 마스크로 표시,"관측 신뢰도가 높은 곳은 촘촘한 빛의 메시, 공백은 어두운 균열·성긴 그물로 보여 “모르는 곳”을 데이터로 만든다.",Confidence Mesh + Dark Data Gaps + Uncertainty Fade,관측망 밀도·기본 공백 표시,"변수별 신뢰도, 모델 의존도, 분석 결과의 불확실성 지도·리포트",데이터 없음과 안전·위험 없음은 다름을 명시,P2,L,LATER,경량 마커·네트워크·스토리 레이어
47,buoy,해양 부이,파고·수온,지표·관측,부이 위치를 점·아이콘과 팝업으로 표시,바다 위 3D 부이가 실제 파도에 따라 상하로 움직이고 수온·파고·바람이 주변 링과 기둥으로 반응한다.,Floating Sensor Beacons + Wave Piston + Live Rings,현재 부이 실측·시각·기본 그래프,"추세·임계 알림, 인근 해역 보간, 낚시·서핑·항로 영향",실측 부이와 모델 해역값 분리,P1,M,NEXT,표준 3D 레이어·LOD·시간축
48,airkr,대기오염 실측,전국 673개 측정소,지표·관측,측정소별 등급 점과 숫자를 표시,도시의 실측 센서 타워에서 실제 농도에 비례한 공기 기둥이 올라오고 주변 모델 부피와 차이를 비교한다.,Measured Air Towers + Local Plumes + Model-vs-Observed Split,전국 실측소 값·등급·시각,"동네 추세·모델 차이·개인 노출, 관심 측정소 조건 알림",측정소 실측과 공간 보간을 명확히 구분,P1,M,NEXT,표준 3D 레이어·LOD·시간축
49,eclipse,일식,예정,지표·관측,일식 경로와 시간대를 2D 선·폴리곤으로 표시,달의 그림자 원뿔이 우주에서 지구 표면을 실제 시간대로 훑고 지역별 부분·개기 범위가 공간적으로 보인다.,Moon Shadow Cone + Ground Sweep + Local Sky Preview,예정 경로·지역별 시간·기본 관측 안내,"내 위치 시뮬레이션, 날씨·구름 결합, AR 관측·촬영 알림",천문 계산과 기상 가시성을 별도 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
50,heatdome,열돔,감지,현상·관광·이동,넓은 고온 영역을 반투명 붉은 면으로 표시,고기압·고온 공기가 거대한 투명 돔으로 지형을 누르고 도시 열 봉우리가 내부에서 축적되는 장면을 보여준다.,Atmospheric Heat Dome + Pressure Cap + Heat Accumulation,현재 감지·공식 폭염 정보·기본 구조,"지속시간·야간열·건강·전력·행사 영향, 관심지역 알림",열돔 정의·탐지 기준과 일반 폭염을 구분,P1,H,NEXT,고성능 렌더 경로와 모바일 축소 표현 필요
51,phenomena,해양 환류,5개 해역,현상·관광·이동,대양에 큰 순환 화살표를 정적 표시,장기 평균 환류와 현재 표층 흐름을 분리해 표현한다. 해양쓰레기·생태 이동은 별도 데이터가 있을 때만 추가한다.,Basin Gyre Vortex + Accumulation Zones + Drift Story,5대 환류·기본 방향과 설명,"해양쓰레기·표류·생태·항로 결합, 과거·예측 시나리오",장기 평균 환류와 실시간 표층 흐름을 구분,P1,H,NOW → ENHANCED,"환류 평균장, 표층 해류, 선택적 표류 데이터"
52,tourism,관광 밀도,서울 공식 혼잡·지역 밀도,현상·관광·이동,관광지 혼잡을 붉은 격자·원·막대로 표시,관광객이 많은 곳은 도시 봉우리로 솟고 시간대별 유입·유출은 빛의 흐름으로 연결되어 하루 리듬이 보인다.,Tourism Relief Peaks + Visitor Flow + Hourly City Pulse,현재 공식 혼잡·관광지·날씨·행사 기본 정보,"시간대 예측, 일정·교통·날씨 결합 추천, 대체 장소·개인 알림·예약 연결",실측·추정·예측 인구를 구분,P0,M,NOW,표준 3D 레이어·LOD·시간축
53,poi,명소,박물관·천문대·아쿠아리움,현상·관광·이동,명소를 동일한 핀 아이콘으로 나열,확대하면 주요 장소가 지형에서 은은한 3D 이야기 노드로 솟고 주변 날씨·혼잡·운영 상태가 작은 빛 링으로 나타난다.,Story Nodes + Context Halo + Adaptive Reveal,공공 명소 정보·위치·기본 운영·현재 환경,"개인 취향 일정, 혼잡·날씨 최적시간, 예약·경로·대체 추천",운영·예약 정보의 갱신시각 표시,P1,M,NEXT,표준 3D 레이어·LOD·시간축
54,flight,항공기,항로·내 비행기 추적,현상·관광·이동,항공기 아이콘과 2D 항적선을 지도에 표시,고도별로 분리된 빛의 항로가 지구 위를 아치로 흐르고 항공기·구름·바람·난류·공항 혼잡이 같은 공간에 연결된다.,Altitude Air Lanes + Aircraft Trails + Weather Coupling,주요 항로·내 비행기 기본 추적·공식 운항 정보,상세 항적·기상 영향·도착 예측·공항 혼잡·가족 공유·맞춤 알림,위치 지연·공급범위·예측 ETA를 구분,P0,M,NOW,표준 3D 레이어·LOD·시간축
