id,name,domain,priority,status,module,formula,inputs,outputs,guardrails
ALG-VIS-004,Adaptive volume render policy,Visual,P1,IMPLEMENTED_FOUNDATION,visual/volume.js,"mode/resolution/ray steps from device, thermal, confidence, uncertainty, horizon",device;thermal;confidence;uncertainty,shell/volume policy,Mobile and ECO avoid heavy volume
ALG-HF-001,Density,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,raw_density = population/effective_area,population estimate;validated area,density,Unknown area -> UNKNOWN
ALG-HF-002,Calibrated crowd index,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,weighted percentile + relative ratio + robust z + official level,density history;official level,0-100 index,Official level has UI/safety precedence
ALG-HF-003,Persistent trend,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,EWMA + Theil-Sen slope + persistence filter,time series,trend/slope/acceleration,Single spike cannot create trend
ALG-HF-004,Evidence-limited scalar flow,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,"in=max(0,delta)/dt; out=max(0,-delta)/dt",population series,in/out rate,No direction without OD/graph evidence
ALG-HF-005,Explainable crowd forecast v0,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,baseline + trend + event + weather + mobility + provider factor,feature snapshot,forecast + contributions,Provider and Earthus forecasts remain distinct
ALG-HF-006,Robust anomaly,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,abs(current-seasonalMedian)/(1.4826*MAD) with persistence,current/history/events,anomaly state,Anomaly is not automatically a disaster
ALG-HF-007,Validated capacity pressure,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,occupancy/validated_capacity,occupancy;validated capacity,pressure,Never infer legal capacity from area
ALG-HF-008,Risk hard gate,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/algorithms.js,"max(official,weather,crowd,capacity,bottleneck)+reliability penalty",risk signals,SAFE/CAUTION/WARNING/CRITICAL/UNKNOWN,Official emergency overrides score
ALG-HF-009,Shortest path with status/capacity penalties,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/spatial-graph.js,Dijkstra over verified typed edges,spatial graph,path/cost,Closed or inaccessible edges excluded
ALG-HF-010,Forecast verification metrics,Human Flow,P1,IMPLEMENTED_FOUNDATION,human-flow/forecast-lifecycle.js,error=actual-predicted; MAE/RMSE/bias by filters,forecast;actual,metrics,Every forecast keeps issued/target/model version
ALG-HF-011,Champion/challenger,ModelOps,P1,IMPLEMENTED_FOUNDATION,human-flow/forecast-lifecycle.js,relative MAE improvement + calibration improvement,champion/challenger metrics,promotion decision,No promotion on accuracy alone
ALG-WX-001,Skill-weighted model ensemble,Weather,P1,IMPLEMENTED_FOUNDATION,weather/ensemble.js,weighted mean; spread from weighted variance,model members;skill/freshness weights,consensus/spread/agreement,No public probability before calibration
ALG-WX-002,Local bias correction,Weather,P1,IMPLEMENTED_FOUNDATION,weather/ensemble.js,"corrected = raw - bias(location,variable,lead,regime)",forecast;bias,corrected forecast,Promote after shadow backtest
ALG-WX-003,Semi-Lagrangian nowcast,Weather,P1,IMPLEMENTED_FOUNDATION,weather/nowcast.js,"field(t+dt)=sample(field, x-u*dt, y-v*dt)+growth-decay",field;vector field,advected field,Lead-time validation required
ALG-WX-004,Evidence-backed claim gate,Weather,P1,IMPLEMENTED_FOUNDATION,weather/evidence-graph.js,claim allowed only when required evidence count/confidence and counter evidence rules pass,claim rules;evidence,allow/block + confidence,No invented numbers or unsupported causal claims
ALG-WX-005,Precipitation observed blend,Weather,P1,IMPLEMENTED_FOUNDATION,weather/precipitation.js,"quality-weighted radar+gauge+model, observed sources define state",radar/gauge/model rates,rate/intensity/state,Cloud and precipitation are separate
ALG-WX-006,Rain/snow phase foundation,Weather,P1,IMPLEMENTED_FOUNDATION,weather/precipitation.js,wet-bulb + warm/cold layer depth rules,temperature profile,phase/confidence,Explicit uncertainty
ALG-WX-007,Forecast gap / Early Signal,Weather,P1,IMPLEMENTED_FOUNDATION,weather/forecast-gap.js,"gap=consensus-official; require persistence, agreement, skill",official forecast;model consensus,NONE/WATCH/EARLY_SIGNAL,Official warning always wins
ALG-WX-008,Moisture source contribution,Weather,P1,IMPLEMENTED_FOUNDATION,weather/moisture-attribution.js,trajectory + flux convergence + TPW + ascent + SST support + radar growth - dry-air counter,multi-signal evidence,contribution score/state,SST alone cannot establish cause
ALG-CLD-001,Satellite product/tile source score,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/satellite-product-broker.js,regional preference + freshness + resolution + angle + time + channel + parallax + reliability + cost,satellite products/tile/time,primary/secondary/calibration,"Eligibility gates for rights, health, day/night and missing tiles"
ALG-CLD-002,Cloud-top retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/cloud-state.js,argmin_z |T_profile(z)-BT_IR| + correction/uncertainty,IR brightness temp;NWP profile,top height + uncertainty,Parallax and limb flags
ALG-CLD-003,Cloud-base retrieval,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/cloud-state.js,"first persistent RH/cloud-fraction layer, blended with LCL or ceilometer",RH/cloud profile;LCL;ceilometer,base height + state,Estimated unless directly observed
ALG-CLD-004,Multilayer detection,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/cloud-state.js,persistent cloud-fraction intervals above threshold,vertical cloud profile,layers/multilayer flag,Thin/ambiguous layers retain flags
ALG-CLD-005,Cloud density profile,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/cloud-state.js,weighted cloud fraction + RH + optical depth + mask + condensate - uncertainty,layer variables,density 0..1,"Store state, not rendered voxel texture"
ALG-CLD-006,Observation/model/ensemble horizon blend,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/cloud-forecast.js,alpha(h)*obs + beta(h)*deterministic + gamma(h)*ensemble,cloud states;horizon,0-10d state,7d+ becomes probabilistic and soft
ALG-CLD-007,Cloud uncertainty visual mapping,Cloud,P1,IMPLEMENTED_FOUNDATION,cloud/cloud-render-policy.js,opacity/detail decrease and blur increases with uncertainty/horizon,confidence;uncertainty;horizon,render policy,Long range must not look current
ALG-HYD-001,SCS runoff foundation,Hydrology,P2,IMPLEMENTED_FOUNDATION,hydrology/runoff-routing.js,Q=(P-Ia)^2/(P+(1-lambda)S),precipitation;curve number,runoff mm,Requires basin calibration; scenario only
ALG-HYD-002,Linear reservoir routing foundation,Hydrology,P2,IMPLEMENTED_FOUNDATION,hydrology/runoff-routing.js,outflow=storage/K; storage+=inflow-outflow,inflow;storage;K,outflow/storage,Replace/validate per basin
ALG-PAY-001,Entitlement resolution,Paid,P0,IMPLEMENTED_FOUNDATION,paid/entitlement.js,tier rank + country + rights + quota + safety exception,user/tier/feature,ALLOW/PREVIEW/DENY,Official safety always free
ALG-PAY-002,Country readiness,Paid,P1,IMPLEMENTED_FOUNDATION,paid/country-unlock.js,weighted data/license/visual/performance/QA/terrain/localization,country gates,score/blockers,Funding alone cannot open a country
ALG-STO-001,Archive deletion proof,Storage,P1,IMPLEMENTED_FOUNDATION,storage/archive-verification.js,all checksum/count/size/snapshot/grace/shadow checks must pass,S3/NAS evidence,DELETE_ELIGIBLE/BLOCKED,No date-only deletion
ALG-STO-002,Cloud delta keyframe plan,Storage,P1,IMPLEMENTED_FOUNDATION,storage/delta-pack.js,keyframes + delta frames; estimate saving and random access penalty,frame count/size/ratio,pack plan,Use only after reconstruction validation
ALG-OPS-001,Provider health state,Operations,P0,IMPLEMENTED_FOUNDATION,ops/provider-health.js,auth/schema/quota gates then freshness and failure thresholds,last success/SLA/failures,health state,Do not equate job success with source freshness
ALG-OPS-002,Exponential backoff,Operations,P1,IMPLEMENTED_FOUNDATION,ops/provider-health.js,"min(max, base*2^attempt)*(1+jitter)",attempt/rates,delay,No retry for auth/parameter errors at adapter layer
ALG-OPS-003,Cost-to-value schedule,Operations,P1,IMPLEMENTED_FOUNDATION,ops/cost-observability.js,value/cost efficiency with hard safety override,cost/users/value/budget,RUN/DOWNSAMPLE/DEFER,Safety-critical jobs cannot be deferred for cost
ALG-OPS-004,Observation gap lens,Operations,P1,IMPLEMENTED_FOUNDATION,ops/observation-gap.js,observed coverage + station density + freshness + resolution + model coverage,coverage metrics,knowledge/model-dependence state,Data absence is not risk absence
ALG-OPS-005,Fail-soft scene selection,Operations,P1,IMPLEMENTED_FOUNDATION,core/fail-soft-scene.js,"select truthful fallback from data state, vector/grid availability, device and thermal constraints",requested engine;data state;capabilities;thermal state,fallback scene plan,"Never invent direction, grid or safety state"
ALG-CORE-004,Trust ledger status,Core,P1,IMPLEMENTED_FOUNDATION,core/trust-ledger.js,support/counter evidence count and confidence produce SUPPORTED/CONTESTED/UNSUPPORTED,support evidence;counter evidence,trust ledger,"Every evidence item keeps source, time and provenance"
ALG-CLD-008,Procedural cloud detail budget,Cloud,P2,IMPLEMENTED_FOUNDATION,cloud/procedural-detail.js,detail = confidence*(1-uncertainty)*device*thermal*horizon scale,cloud state quality;device;thermal;horizon,deterministic visual-only detail plan,May not change meteorological coverage or meaning
ALG-STO-003,Replay rehydration compatibility,Storage,P2,IMPLEMENTED_FOUNDATION,storage/replay-rehydration.js,select overlapping archive chunks only after processor/schema compatibility checks,archive manifest;region/time request;supported versions,rehydration plan,Never serve directly from NAS
ALG-PAY-003,Offline trip pack selection,Paid,VNEXT,IMPLEMENTED_FOUNDATION,paid/offline-trip-pack.js,priority-first bounded packing with official safety override,trip range;assets;entitlement;byte budget,offline pack plan,Official safety assets are never excluded by premium status
ALG-DAT-001,Bilinear grid resampling,Data Plane,P1,IMPLEMENTED_FOUNDATION,data/reprojection-resampling.js,bilinear interpolation in normalized grid coordinates,source grid;target size,resampled grid,Dataset requiring conservative mass preservation must use a dataset-specific conservative method
ALG-DAT-002,Canonical time-slice selection,Data Plane,P1,IMPLEMENTED_FOUNDATION,data/time-slice.js,nearest valid frame within max staleness window,records;target time;max age,canonical frame or null,Evidence modes cannot mix implicitly
ALG-DAT-003,Bounded scalar quantization,Data Plane,P1,IMPLEMENTED_FOUNDATION,data/tile-compiler.js,map finite min..max to Qbits with reserved no-data code,scalar values;bit depth,quantized values;min/max metadata,No-data remains explicit
ALG-DAT-004,Revision fingerprint and classification,Data Plane,P1,IMPLEMENTED_FOUNDATION,data/revision-engine.js,stable object fingerprint; same-time change => provider revision,previous;next,revision state;fingerprints,Provider revision is not a new observation time
ALG-DAT-005,Adaptive frame prefetch,Data Plane,P1,IMPLEMENTED_FOUNDATION,data/adaptive-prefetch.js,bounded forward/back window from playback/network/memory state,frame index;network;memory,prefetch frame ids,No unbounded background download
ALG-OCN-001,Ocean vector magnitude/direction,Ocean,P1,IMPLEMENTED_FOUNDATION,ocean/ocean-state.js,"speed=sqrt(u^2+v^2); direction=atan2(u,v)",u;v,speed;direction,No U/V means no flow direction
ALG-OCN-002,Wave visual exaggeration,Ocean,P1,IMPLEMENTED_FOUNDATION,ocean/wave-engine.js,"display=min(cap,Hs*visualExaggeration)",significant wave height,display height;exaggeration,"Clearly labeled as visualization, not fluid simulation"
ALG-OCN-003,Deep-water swell ETA foundation,Ocean,P1,IMPLEMENTED_FOUNDATION,ocean/swell-arrival.js,group velocity=g*T/(4*pi); eta=distance/cg,distance;period,group velocity;arrival time,Nearshore refraction/shoaling not included
ALG-OCN-004,Sea-level residual,Ocean,P1,IMPLEMENTED_FOUNDATION,ocean/tide-sea-level.js,residual=observed-astronomical prediction,observed level;predicted tide,residual,Observed/predicted/residual kept separate
ALG-OCN-005,SST front gradient,Ocean,P1,IMPLEMENTED_FOUNDATION,ocean/sst-features.js,central-difference gradient magnitude threshold,SST grid,front candidates,"Derived feature, not official ocean-front label"
ALG-OCN-006,Coastal exposure score,Ocean,P1,IMPLEMENTED_FOUNDATION,ocean/coastal-exposure.js,bounded weighted wave+swell+tide residual+wind; official warning hard gate,marine conditions;warning,risk state;score,Official warning overrides score
ALG-HAZ-001,Official warning precedence merge,Hazard,P0,IMPLEMENTED_FOUNDATION,hazards/warning-engine.js,"official first, then severity, then latest issue time",warnings,primary warning;active list,Earthus cannot downgrade active official warning
ALG-HAZ-002,Hypocenter depth visual mapping,Hazard,P1,IMPLEMENTED_FOUNDATION,hazards/earthquake-depth.js,display radius=Earth radius-depth*bounded exaggeration,depth;magnitude,3D depth placement,Not P/S wave propagation
ALG-HAZ-003,Seismic context clustering,Hazard,P1,IMPLEMENTED_FOUNDATION,hazards/earthquake-depth.js,spatiotemporal radius grouping,earthquakes,context clusters,Not aftershock prediction
ALG-HAZ-004,Lightning centroid tracking,Hazard,P1,IMPLEMENTED_FOUNDATION,hazards/lightning-track.js,spatial cluster then nearest-centroid matching,lightning points,cell clusters;motion evidence,Motion is estimated
ALG-HAZ-005,Wildfire hotspot clustering,Hazard,P1,IMPLEMENTED_FOUNDATION,hazards/wildfire-smoke.js,spatiotemporal hotspot radius grouping,thermal hotspots,hotspot clusters,Cluster is not burn perimeter
ALG-HAZ-006,Cyclone agency resolver,Hazard,P1,IMPLEMENTED_FOUNDATION,hazards/cyclone-resolver.js,region-specific official agency priority; preserve alternates,agency tracks;region,primary;alternates,Never average official agency tracks
ALG-INT-001,Cross-domain Pearson association,Intelligence,P1,IMPLEMENTED_FOUNDATION,intelligence/correlation.js,Pearson r with minimum valid pair count,aligned series,r;n,Correlation is not causation
ALG-INT-002,Analog feature distance,Intelligence,P1,IMPLEMENTED_FOUNDATION,intelligence/analog-retrieval.js,weighted normalized Euclidean distance,target features;historical cases,ranked analogs,Expose feature basis and distance
ALG-INT-003,Regime classifier foundation,Intelligence,P1,IMPLEMENTED_FOUNDATION,intelligence/regime-detector.js,coefficient of variation + normalized end-to-end slope,time series,stable/rising/falling/volatile,Domain thresholds remain configurable
ALG-INT-004,Route exposure integration,Intelligence,P1,IMPLEMENTED_FOUNDATION,intelligence/route-exposure.js,length-weighted hazard intensity with official gates,route segments;signals,route exposure,Official closure/warning overrides score
ALG-INT-005,Decision contribution ranking,Intelligence,P1,IMPLEMENTED_FOUNDATION,intelligence/decision-explanation.js,rank absolute contribution; hard gate first,decision;contributions;gates,primary reason;ranked factors,No unexplained recommendation
ALG-VIS-010,Semantic label budget,Visual,P1,IMPLEMENTED_FOUNDATION,visual/label-budget.js,priority=safety>selected>primary>context>decorative,candidate labels;device cap,visible labels,Safety cannot be evicted by decorative labels
ALG-VIS-011,Semantic material grammar,Visual,P1,IMPLEMENTED_FOUNDATION,visual/material-grammar.js,domain+evidence+selection+thermal => material tokens,scene state,material tokens,Risk/scenario semantics reserved
ALG-SEC-001,Secret query redaction,Security,P0,IMPLEMENTED_FOUNDATION,security/redaction.js,replace known secret query keys/values with [REDACTED],URL/text;secret aliases,redacted representation,Never log original secret
ALG-SEC-002,Token-bucket abuse control,Security,P1,IMPLEMENTED_FOUNDATION,security/abuse-guard.js,capacity + time-based refill - request cost,requests;time,allow/deny;retry-after,Protect cost surface without changing safety truth
ALG-QA-001,Required launch-gate compilation,Quality,P0,IMPLEMENTED_FOUNDATION,qa/launch-gate.js,required FAIL => FAIL; else required UNKNOWN => UNKNOWN; else PASS,gate states,release state,UNKNOWN required evidence blocks completion
ALG-SPC-001,Launch lifecycle state machine,Space,P2,IMPLEMENTED_FOUNDATION,space/launch-event.js,validated state transitions with telemetry evidence gate,launch state;evidence,next state,No ascent/success/failure progress without evidence
ALG-ANA-001,Alert effectiveness metrics,Analytics,P1,IMPLEMENTED_FOUNDATION,analytics/alert-effectiveness.js,opened/sent and acted/sent,notification events,open rate;action rate,Delivery/open/action states are not inferred
ALG-ANA-002,Engine cost attribution,Analytics,P1,IMPLEMENTED_FOUNDATION,analytics/cost-attribution.js,sum compute+storage+egress+request cost by engine,cost rows,engine cost map,Safety collection cannot be disabled solely by cost
