id,name,domain,priority,module,formula,inputs,outputs,guardrails,status
ALG-DAT-007,Ground-truth learning example builder,Data,P1,data/learning-data-factory.js,forecast + actual + feature snapshot + regime + rights -> privacy-minimized learning row,forecast;ground truth;features;rights,training example or reject reason,Ground truth and AI-use rights required;User identifiers removed,IMPLEMENTED_FOUNDATION
ALG-GEO-001,Antimeridian-safe bounds,Geo,P0,geo/geospatial-reference.js,unwrap longitudes and choose minimum span,GeoJSON geometry,bounds/centroid/date-line flag,Polygon and MultiPolygon only for containment,IMPLEMENTED_FOUNDATION
ALG-GEO-002,Country camera fit,Geo,P0,geo/country-focus.js,camera height proportional to geodesic diameter and viewport aspect,country geometry;viewport,camera + dimming + clipping,No global high-resolution download,IMPLEMENTED_FOUNDATION
ALG-GEO-003,Terrain source score,Geo,P0,geo/terrain-source-broker.js,resolution + freshness + continuity + datum + cost + regional priority,terrain sources;region/zoom,primary/fallback source,Rights/coverage/health are eligibility gates,IMPLEMENTED_FOUNDATION
ALG-GEO-004,Screen-space terrain LOD,Geo,P0,geo/terrain-lod.js,SSE = geometricError*viewportHeight/(2*distance*tan(FOV/2)),tile error;camera distance;viewport,selected LOD,Tile budget cap,IMPLEMENTED_FOUNDATION
ALG-GEO-005,Terrain/data morph,Geo,P1,geo/terrain-data-morph.js,"displayZ = lerp(terrainZ, terrainZ + normalizedData*reliefScale, mix)",terrain elevation;normalized data,display elevation,Raw values unchanged and capped,IMPLEMENTED_FOUNDATION
ALG-GEO-006,Trench Level-2 camera plan,Geo,P2,geo/trench-camera.js,overview/close camera heights scale with verified trench depth and viewport; camera remains non-submerged,target lon/lat/depth;viewport;reduced motion,camera waypoints;depth/source labels,No full underwater navigation;No invented seafloor/subduction geometry,IMPLEMENTED_FOUNDATION
ALG-HAZ-001,Official warning precedence merge,Hazard,P0,hazards/warning-engine.js,"official first, then severity, then latest issue time",warnings,primary warning;active list,Earthus cannot downgrade active official warning,IMPLEMENTED_FOUNDATION
ALG-HAZ-002,Hypocenter depth visual mapping,Hazard,P1,hazards/earthquake-depth.js,display radius=Earth radius-depth*bounded exaggeration,depth;magnitude,3D depth placement,Not P/S wave propagation,IMPLEMENTED_FOUNDATION
ALG-HAZ-003,Seismic context clustering,Hazard,P1,hazards/earthquake-depth.js,spatiotemporal radius grouping,earthquakes,context clusters,Not aftershock prediction,IMPLEMENTED_FOUNDATION
ALG-HAZ-004,Lightning centroid tracking,Hazard,P1,hazards/lightning-track.js,spatial cluster then nearest-centroid matching,lightning points,cell clusters;motion evidence,Motion is estimated,IMPLEMENTED_FOUNDATION
ALG-HAZ-005,Wildfire hotspot clustering,Hazard,P1,hazards/wildfire-smoke.js,spatiotemporal hotspot radius grouping,thermal hotspots,hotspot clusters,Cluster is not burn perimeter,IMPLEMENTED_FOUNDATION
ALG-HAZ-006,Cyclone agency resolver,Hazard,P1,hazards/cyclone-resolver.js,region-specific official agency priority; preserve alternates,agency tracks;region,primary;alternates,Never average official agency tracks,IMPLEMENTED_FOUNDATION
ALG-HAZ-007,Cross-agency hazard event fusion,Hazard,P1,hazards/event-fusion.js,group by type + time window + spatial proximity,agency events,canonical event groups,Agency geometry/values not averaged;Conflicts remain inspectable,IMPLEMENTED_FOUNDATION
ALG-HF-001,Density,Human Flow,P1,human-flow/algorithms.js,raw_density = population/effective_area,population estimate;validated area,density,Unknown area -> UNKNOWN,IMPLEMENTED_FOUNDATION
ALG-HF-002,Calibrated crowd index,Human Flow,P1,human-flow/algorithms.js,weighted percentile + relative ratio + robust z + official level,density history;official level,0-100 index,Official level has UI/safety precedence,IMPLEMENTED_FOUNDATION
ALG-HF-003,Persistent trend,Human Flow,P1,human-flow/algorithms.js,EWMA + Theil-Sen slope + persistence filter,time series,trend/slope/acceleration,Single spike cannot create trend,IMPLEMENTED_FOUNDATION
ALG-HF-004,Evidence-limited scalar flow,Human Flow,P1,human-flow/algorithms.js,"in=max(0,delta)/dt; out=max(0,-delta)/dt",population series,in/out rate,No direction without OD/graph evidence,IMPLEMENTED_FOUNDATION
ALG-HF-005,Explainable crowd forecast v0,Human Flow,P1,human-flow/algorithms.js,baseline + trend + event + weather + mobility + provider factor,feature snapshot,forecast + contributions,Provider and Earthus forecasts remain distinct,IMPLEMENTED_FOUNDATION
ALG-HF-006,Robust anomaly,Human Flow,P1,human-flow/algorithms.js,abs(current-seasonalMedian)/(1.4826*MAD) with persistence,current/history/events,anomaly state,Anomaly is not automatically a disaster,IMPLEMENTED_FOUNDATION
ALG-HF-007,Validated capacity pressure,Human Flow,P1,human-flow/algorithms.js,occupancy/validated_capacity,occupancy;validated capacity,pressure,Never infer legal capacity from area,IMPLEMENTED_FOUNDATION
ALG-HF-008,Risk hard gate,Human Flow,P1,human-flow/algorithms.js,"max(official,weather,crowd,capacity,bottleneck)+reliability penalty",risk signals,SAFE/CAUTION/WARNING/CRITICAL/UNKNOWN,Official emergency overrides score,IMPLEMENTED_FOUNDATION
ALG-HF-009,Shortest path with status/capacity penalties,Human Flow,P1,human-flow/spatial-graph.js,Dijkstra over verified typed edges,spatial graph,path/cost,Closed or inaccessible edges excluded,IMPLEMENTED_FOUNDATION
ALG-HF-010,Forecast verification metrics,Human Flow,P1,human-flow/forecast-lifecycle.js,error=actual-predicted; MAE/RMSE/bias by filters,forecast;actual,metrics,Every forecast keeps issued/target/model version,IMPLEMENTED_FOUNDATION
ALG-HF-011,Champion/challenger,ModelOps,P1,human-flow/forecast-lifecycle.js,relative MAE improvement + calibration improvement,champion/challenger metrics,promotion decision,No promotion on accuracy alone,IMPLEMENTED_FOUNDATION
ALG-HF-012,Spatiotemporal snapshot selection,Human Flow,P1,human-flow/spatiotemporal-fusion.js,select nearest valid signal per variable inside variable-specific staleness window,canonical signals;snapshot time;freshness rules,aligned snapshot;rejections;missing required variables,Different timestamps are never merged as equally current,IMPLEMENTED_FOUNDATION
ALG-HF-013,Spatial cell provider mapping,Human Flow,P1,human-flow/spatial-cell-registry.js,provider/service/externalId -> Earthus cell mapping with explicit mapping quality/version,Earthus cell;external mapping,stable cell registry;provider mapping,Provider external ID is not Earthus master ID,IMPLEMENTED_FOUNDATION
ALG-HF-014,Digital twin capacity provenance gate,Human Flow,P2,human-flow/digital-twin.js,capacity value accepted only with capacity provenance,twin entity,validated twin entity,Never infer legal/safe capacity from area alone,IMPLEMENTED_FOUNDATION
ALG-HF-015,Scenario isolation,Human Flow,P2,human-flow/scenario.js,scenario = deep-cloned baseline + explicit deltas; LIVE snapshot is immutable,baseline;occupancy delta;closed edges;capacity overrides,SIMULATION result,Scenario never mutates LIVE state,IMPLEMENTED_FOUNDATION
ALG-HYD-001,SCS runoff foundation,Hydrology,P2,hydrology/runoff-routing.js,Q=(P-Ia)^2/(P+(1-lambda)S),precipitation;curve number,runoff mm,Requires basin calibration; scenario only,IMPLEMENTED_FOUNDATION
ALG-HYD-002,Linear reservoir routing foundation,Hydrology,P2,hydrology/runoff-routing.js,outflow=storage/K; storage+=inflow-outflow,inflow;storage;K,outflow/storage,Replace/validate per basin,IMPLEMENTED_FOUNDATION
ALG-HYD-003,River visual semantic LOD,Hydrology,P1,hydrology/river-visual-network.js,minimum stream order rises as camera zooms out; line width follows verified stream order,hydrography segments;zoom;basin,DATA NETWORK segments,No flow direction unless verified,IMPLEMENTED_FOUNDATION
ALG-INT-001,Cross-domain Pearson association,Intelligence,P1,intelligence/correlation.js,Pearson r with minimum valid pair count,aligned series,r;n,Correlation is not causation,IMPLEMENTED_FOUNDATION
ALG-INT-002,Analog feature distance,Intelligence,P1,intelligence/analog-retrieval.js,weighted normalized Euclidean distance,target features;historical cases,ranked analogs,Expose feature basis and distance,IMPLEMENTED_FOUNDATION
ALG-INT-003,Regime classifier foundation,Intelligence,P1,intelligence/regime-detector.js,coefficient of variation + normalized end-to-end slope,time series,stable/rising/falling/volatile,Domain thresholds remain configurable,IMPLEMENTED_FOUNDATION
ALG-INT-004,Route exposure integration,Intelligence,P1,intelligence/route-exposure.js,length-weighted hazard intensity with official gates,route segments;signals,route exposure,Official closure/warning overrides score,IMPLEMENTED_FOUNDATION
ALG-INT-005,Decision contribution ranking,Intelligence,P1,intelligence/decision-explanation.js,rank absolute contribution; hard gate first,decision;contributions;gates,primary reason;ranked factors,No unexplained recommendation,IMPLEMENTED_FOUNDATION
ALG-OCN-001,Ocean vector magnitude/direction,Ocean,P1,ocean/ocean-state.js,"speed=sqrt(u^2+v^2); direction=atan2(u,v)",u;v,speed;direction,No U/V means no flow direction,IMPLEMENTED_FOUNDATION
ALG-OCN-002,Wave visual exaggeration,Ocean,P1,ocean/wave-engine.js,"display=min(cap,Hs*visualExaggeration)",significant wave height,display height;exaggeration,"Clearly labeled as visualization, not fluid simulation",IMPLEMENTED_FOUNDATION
ALG-OCN-003,Deep-water swell ETA foundation,Ocean,P1,ocean/swell-arrival.js,group velocity=g*T/(4*pi); eta=distance/cg,distance;period,group velocity;arrival time,Nearshore refraction/shoaling not included,IMPLEMENTED_FOUNDATION
ALG-OCN-004,Sea-level residual,Ocean,P1,ocean/tide-sea-level.js,residual=observed-astronomical prediction,observed level;predicted tide,residual,Observed/predicted/residual kept separate,IMPLEMENTED_FOUNDATION
ALG-OCN-005,SST front gradient,Ocean,P1,ocean/sst-features.js,central-difference gradient magnitude threshold,SST grid,front candidates,"Derived feature, not official ocean-front label",IMPLEMENTED_FOUNDATION
ALG-OCN-006,Coastal exposure score,Ocean,P1,ocean/coastal-exposure.js,bounded weighted wave+swell+tide residual+wind; official warning hard gate,marine conditions;warning,risk state;score,Official warning overrides score,IMPLEMENTED_FOUNDATION
ALG-OPS-001,Provider health state,Operations,P0,ops/provider-health.js,auth/schema/quota gates then freshness and failure thresholds,last success/SLA/failures,health state,Do not equate job success with source freshness,IMPLEMENTED_FOUNDATION
ALG-OPS-002,Exponential backoff,Operations,P1,ops/provider-health.js,"min(max, base*2^attempt)*(1+jitter)",attempt/rates,delay,No retry for auth/parameter errors at adapter layer,IMPLEMENTED_FOUNDATION
ALG-OPS-003,Cost-to-value schedule,Operations,P1,ops/cost-observability.js,value/cost efficiency with hard safety override,cost/users/value/budget,RUN/DOWNSAMPLE/DEFER,Safety-critical jobs cannot be deferred for cost,IMPLEMENTED_FOUNDATION
ALG-OPS-004,Observation gap lens,Operations,P1,ops/observation-gap.js,observed coverage + station density + freshness + resolution + model coverage,coverage metrics,knowledge/model-dependence state,Data absence is not risk absence,IMPLEMENTED_FOUNDATION
ALG-OPS-005,Fail-soft scene selection,Operations,P1,core/fail-soft-scene.js,"select truthful fallback from data state, vector/grid availability, device and thermal constraints",requested engine;data state;capabilities;thermal state,fallback scene plan,"Never invent direction, grid or safety state",IMPLEMENTED_FOUNDATION
ALG-OPS-006,Job DAG topological execution,Ops,P1,ops/job-dag.js,Kahn topological order over explicit dependencies,job graph,execution order;runnable jobs,Unknown dependency/cycle fails closed,IMPLEMENTED_FOUNDATION
ALG-OPS-007,Dead-letter recovery classification,Ops,P1,ops/dead-letter-recovery.js,retry only retryable error + idempotency + attempts < max; else quarantine,dead-letter messages,RETRY/QUARANTINE plan,No replay without idempotency key,IMPLEMENTED_FOUNDATION
ALG-OPS-008,Freshness SLO state,Ops,P1,ops/freshness-slo.js,age <= live => LIVE; <= stale => STALE; else UNAVAILABLE,reference time;SLO,freshness state;age,Collector success does not imply LIVE data,IMPLEMENTED_FOUNDATION
ALG-OPS-009,Safe rollback planner,Ops,P1,ops/rollback-engine.js,rollback allowed only with verified rollback artifact and reversible data boundary,current/previous version;migration state,rollback steps;blockers,No automatic production rollback,IMPLEMENTED_FOUNDATION
ALG-OPS-010,Performance acceptance compiler,Ops,P1,ops/performance-lab.js,min FPS + p95 frame + memory growth + thermal maxima against budgets,runtime samples;budgets,PASS/FAIL;metrics,Pure unit tests do not substitute real-device samples,IMPLEMENTED_FOUNDATION
ALG-OPS-011,New-engine reuse enforcement,Ops,P0,ops/engine-reuse-enforcer.js,catalog capability-token similarity + mandatory repository/catalog/gap evidence,new-engine proposal;catalog;gap evidence,BLOCK_NEW_ENGINE or reviewable NEW,Convenience is not a reason to duplicate engines,IMPLEMENTED_FOUNDATION
ALG-PAY-001,Entitlement resolution,Paid,P0,paid/entitlement.js,tier rank + country + rights + quota + safety exception,user/tier/feature,ALLOW/PREVIEW/DENY,Official safety always free,IMPLEMENTED_FOUNDATION
ALG-PAY-002,Country readiness,Paid,P1,paid/country-unlock.js,weighted data/license/visual/performance/QA/terrain/localization,country gates,score/blockers,Funding alone cannot open a country,IMPLEMENTED_FOUNDATION
ALG-PAY-003,Offline trip pack selection,Paid,VNEXT,paid/offline-trip-pack.js,priority-first bounded packing with official safety override,trip range;assets;entitlement;byte budget,offline pack plan,Official safety assets are never excluded by premium status,IMPLEMENTED_FOUNDATION
ALG-PAY-004,Personal context minimization,Paid,P1,paid/personal-context.js,allowlist context fields only after explicit consent,user context;consent,minimal context;dropped fields,Precise movement/user secrets are not accepted by default,IMPLEMENTED_FOUNDATION
ALG-PAY-005,Comparison semantic normalization,Paid,P1,paid/comparison.js,comparison requires same variable/unit; large resolution mismatch is disclosed,comparison items,comparable result or block reason,No misleading cross-variable/unit comparison,IMPLEMENTED_FOUNDATION
ALG-PAY-006,Scenario entitlement gate,Paid,P2,paid/scenario.js,Control/Business + quota + no LIVE mutation,plan;quota;scenario request,allow/deny,Official safety remains outside paywall,IMPLEMENTED_FOUNDATION
ALG-PAY-007,Subscription state transition,Paid,P1,paid/subscription-state.js,explicit finite-state transition table,current state;billing event,next state or invalid transition,No implicit entitlement from UI state,IMPLEMENTED_FOUNDATION
ALG-PAY-008,Premium analysis cache key,Paid,P1,paid/premium-cache.js,feature+country+versioned user scope/context fingerprint,feature;country;context;engine versions,cache key,Entitlement is still checked outside cache,IMPLEMENTED_FOUNDATION
ALG-QA-001,Required launch-gate compilation,Quality,P0,qa/launch-gate.js,required FAIL => FAIL; else required UNKNOWN => UNKNOWN; else PASS,gate states,release state,UNKNOWN required evidence blocks completion,IMPLEMENTED_FOUNDATION
ALG-QA-002,Completion evidence gate,Quality,P0,qa/completion-evidence.js,DONE only if engine/algorithm IDs + actual data + runtime + browser/device + tests + visual + performance + dispose + regression + no-duplicate evidence pass,completion evidence,DONE_EVIDENCE_ACCEPTED/NOT_DONE,File/class/interface existence alone is never completion,IMPLEMENTED_FOUNDATION
ALG-SEC-001,Secret query redaction,Security,P0,security/redaction.js,replace known secret query keys/values with [REDACTED],URL/text;secret aliases,redacted representation,Never log original secret,IMPLEMENTED_FOUNDATION
ALG-SEC-002,Token-bucket abuse control,Security,P1,security/abuse-guard.js,capacity + time-based refill - request cost,requests;time,allow/deny;retry-after,Protect cost surface without changing safety truth,IMPLEMENTED_FOUNDATION
ALG-SPC-001,Launch lifecycle state machine,Space,P2,space/launch-event.js,validated state transitions with telemetry evidence gate,launch state;evidence,next state,No ascent/success/failure progress without evidence,IMPLEMENTED_FOUNDATION
ALG-STO-001,Archive deletion proof,Storage,P1,storage/archive-verification.js,all checksum/count/size/snapshot/grace/shadow checks must pass,S3/NAS evidence,DELETE_ELIGIBLE/BLOCKED,No date-only deletion,IMPLEMENTED_FOUNDATION
ALG-STO-002,Cloud delta keyframe plan,Storage,P1,storage/delta-pack.js,keyframes + delta frames; estimate saving and random access penalty,frame count/size/ratio,pack plan,Use only after reconstruction validation,IMPLEMENTED_FOUNDATION
ALG-STO-003,Replay rehydration compatibility,Storage,P2,storage/replay-rehydration.js,select overlapping archive chunks only after processor/schema compatibility checks,archive manifest;region/time request;supported versions,rehydration plan,Never serve directly from NAS,IMPLEMENTED_FOUNDATION
ALG-STO-004,Archive package manifest plan,Storage,P1,storage/archive-packager.js,archive id from dataset/region/time/schema/processor/record contract,archive metadata,archive manifest plan,Rendered voxels are not the canonical long-term source,IMPLEMENTED_FOUNDATION
ALG-STO-005,NAS outbound pull state machine,Storage,P1,storage/nas-archive-agent.js,COPY_PENDING -> COPYING -> VERIFYING -> NAS_VERIFIED; failure returns retry state,archive job;events,archive transfer state,LIVE service never directly reads NAS,IMPLEMENTED_FOUNDATION
ALG-STO-006,Archive catalog time lookup,Storage,P1,storage/archive-catalog.js,filter archive metadata by dataset/region and inclusive time range,catalog;query,matching archives,Catalog online even when NAS offline,IMPLEMENTED_FOUNDATION
ALG-VIS-001,Bounded logarithmic tower mapping,Visual,P0,visual/tower.js,height = hMin + boundedLog(value/p95)*(hMax-hMin),value;distribution,height/opacity,Original value remains visible,IMPLEMENTED_FOUNDATION
ALG-VIS-002,Mass-preserving estimated distribution,Visual,P1,visual/tower.js,"cell_i = total*w_i/sum(w), integer remainder by largest fraction",aggregate total;approved weights,estimated cells,Sum must exactly equal provider total; estimated badge,IMPLEMENTED_FOUNDATION
ALG-VIS-003,Bilinear vector sampling,Visual,P1,visual/flow.js,bilinear interpolate U/V over four grid cells,vector grid;normalized coordinate,U/V vector,Missing vector returns null,IMPLEMENTED_FOUNDATION
ALG-VIS-004,Adaptive volume render policy,Visual,P1,visual/volume.js,"mode/resolution/ray steps from device, thermal, confidence, uncertainty, horizon",device;thermal;confidence;uncertainty,shell/volume policy,Mobile and ECO avoid heavy volume,IMPLEMENTED_FOUNDATION
ALG-VIS-010,Semantic label budget,Visual,P1,visual/label-budget.js,priority=safety>selected>primary>context>decorative,candidate labels;device cap,visible labels,Safety cannot be evicted by decorative labels,IMPLEMENTED_FOUNDATION
ALG-VIS-011,Semantic material grammar,Visual,P1,visual/material-grammar.js,domain+evidence+selection+thermal => material tokens,scene state,material tokens,Risk/scenario semantics reserved,IMPLEMENTED_FOUNDATION
ALG-WX-001,Skill-weighted model ensemble,Weather,P1,weather/ensemble.js,weighted mean; spread from weighted variance,model members;skill/freshness weights,consensus/spread/agreement,No public probability before calibration,IMPLEMENTED_FOUNDATION
ALG-WX-002,Local bias correction,Weather,P1,weather/ensemble.js,"corrected = raw - bias(location,variable,lead,regime)",forecast;bias,corrected forecast,Promote after shadow backtest,IMPLEMENTED_FOUNDATION
ALG-WX-003,Semi-Lagrangian nowcast,Weather,P1,weather/nowcast.js,"field(t+dt)=sample(field, x-u*dt, y-v*dt)+growth-decay",field;vector field,advected field,Lead-time validation required,IMPLEMENTED_FOUNDATION
ALG-WX-004,Evidence-backed claim gate,Weather,P1,weather/evidence-graph.js,claim allowed only when required evidence count/confidence and counter evidence rules pass,claim rules;evidence,allow/block + confidence,No invented numbers or unsupported causal claims,IMPLEMENTED_FOUNDATION
ALG-WX-005,Precipitation observed blend,Weather,P1,weather/precipitation.js,"quality-weighted radar+gauge+model, observed sources define state",radar/gauge/model rates,rate/intensity/state,Cloud and precipitation are separate,IMPLEMENTED_FOUNDATION
ALG-WX-006,Rain/snow phase foundation,Weather,P1,weather/precipitation.js,wet-bulb + warm/cold layer depth rules,temperature profile,phase/confidence,Explicit uncertainty,IMPLEMENTED_FOUNDATION
ALG-WX-007,Forecast gap / Early Signal,Weather,P1,weather/forecast-gap.js,"gap=consensus-official; require persistence, agreement, skill",official forecast;model consensus,NONE/WATCH/EARLY_SIGNAL,Official warning always wins,IMPLEMENTED_FOUNDATION
ALG-WX-008,Moisture source contribution,Weather,P1,weather/moisture-attribution.js,trajectory + flux convergence + TPW + ascent + SST support + radar growth - dry-air counter,multi-signal evidence,contribution score/state,SST alone cannot establish cause,IMPLEMENTED_FOUNDATION
ALG-WX-009,Weather detail section compiler,Weather,P1,weather/weather-detail-ia.js,fixed CURRENT -> BRIEF -> HOURLY -> 10DAY -> PRECIP/RADAR -> DETAILS -> AQI -> ALERTS -> DEEP order,available sections;plan,section/access manifest,"Information order inspired by usability, not copied UI",IMPLEMENTED_FOUNDATION
ALG-WX-010,Weather truth-class fusion,Weather,P1,weather/weather-spatiotemporal-fusion.js,spatiotemporal alignment + separate official/Earthus/model partitions,weather canonical signals,weather snapshot,Truth classes are not merged into one source type,IMPLEMENTED_FOUNDATION
ALG-WX-011,Weather event evidence detector,Weather,P1,weather/weather-event-detector.js,threshold/compound signatures produce candidate evidence only,precipitation;pressure tendency;CAPE;convergence,event evidence candidates,Never self-declare official warning,IMPLEMENTED_FOUNDATION
ALG-WX-012,Cyclone remnant interaction support score,Weather,P1,weather/cyclone-remnant-interaction.js,weighted proximity+moisture+front+jet+ascent+freshness support,remnant/moisture/front/jet/ascent,support band;causal-claim gate,Causal claim needs multi-signal support,IMPLEMENTED_FOUNDATION
ALG-WX-013,Weather action hard-gate ranking,Weather,P1,weather/weather-action-intelligence.js,official gates exclude windows before score/confidence ranking,official gates;candidate windows;activity,recommended window/alternatives,Convenience never overrides official safety,IMPLEMENTED_FOUNDATION
ALG-WX-014,Weather forecast verification metrics,Weather,P1,weather/weather-modelops.js,MAE/RMSE/bias over forecast-ground truth pairs,forecast/actual records,metrics;promotion gate,No promotion without calibration and rollback readiness,IMPLEMENTED_FOUNDATION
ALG-WX-015,Ensemble scenario medoid clustering,Weather,P1,weather/forecast-scenario-cluster.js,deterministic k-medoid-like clustering using RMS member-vector distance,ensemble member trajectories,representative scenarios;member proportions,"Scenario probability is member share, not official probability",IMPLEMENTED_FOUNDATION
ALG-WX-016,Official-vs-derived forecast reconciliation,Weather,P1,weather/forecast-reconciliation.js,derived consensus gap vs official; Early Signal only with divergence+persistence+calibration,official;ensemble;Earthus;persistence;calibration,ALIGNED/DIVERGENT;Early Signal,Official baseline is never overwritten,IMPLEMENTED_FOUNDATION
ALG-HF-016,"Watch notification decision with safety priority, confidence, cooldown and dedupe",Human Flow/Action,P1,human-flow/watch-notification-decision.js,permission/token -> official safety priority OR confidence gate -> semantic dedupe -> cooldown -> decision,watch;consent;device token;confidence;history;official safety,DECIDED/BLOCKED;dedupeKey;collapseKey;deepLink,No push without permission/token;Safety cannot bypass OS permission;No duplicate unchanged state,IMPLEMENTED_FOUNDATION
ALG-WX-017,Observation quality/provenance state and confidence cap,Weather/Data Quality,P1,weather/observation-quality-provenance.js,"state=f(freshness,coverage,schema,geolocation,rights,flags); derived confidence <= quality cap",observedAt;freshness SLA;coverage;schema;geolocation;rights;flags,LIVE/DEGRADED/STALE/UNAVAILABLE;qualityScore;confidenceCap;provenance,STALE never displays as LIVE;Rights fail closed;Derived confidence cannot exceed input quality,IMPLEMENTED_FOUNDATION
